SlowD,SlowK,RSI,MACD_Signal,MACD,MACD_Hist,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
54.2448,70.7692,52.6899,1.7159,1.1585,-0.5574,70.4902,-8.1201,50.0,30.0,71.41,71.49,70.705,70.83,1154809.0,1
40.8651,55.3225,51.2902,1.8552,1.2285,-0.6268,70.4417,-40.2431,60.0,40.0,69.9,70.665,69.11,70.45,2925743.0,1
30.7061,36.6426,50.4571,2.0119,1.3385,-0.6734,70.4405,-44.091,70.0,50.0,71.23,71.32,68.49,70.21,2958079.0,-1
33.0431,30.6302,48.7136,2.1803,1.484,-0.6962,70.4734,-56.8216,80.0,60.0,68.86,70.25,68.52,69.68,4442033.0,1
45.3821,24.8455,45.5577,2.3543,1.7021,-0.6522,70.5868,-77.8543,90.0,70.0,68.56,69.59,67.3501,68.71,5533332.0,1
68.2872,43.6537,44.4152,2.5174,2.0544,-0.4629,70.8549,-98.4315,100.0,80.0,68.85,69.385,65.6,68.35,4862037.0,1
86.57,67.6471,49.0753,2.6331,2.5109,-0.1222,71.2127,8.1888,10.0,90.0,75.78,76.32,68.56,70.16,5608367.0,-1
96.656,93.5607,67.1471,2.6637,2.8728,0.2091,71.3631,119.6953,20.0,100.0,75.98,76.53,75.06,75.43,2574520.0,-1
93.8187,98.5023,68.7795,2.6114,2.7675,0.1561,70.798,131.9466,30.0,100.0,74.19,76.0,73.45,75.8,2082611.0,1
80.8344,97.905,65.4716,2.5724,2.5554,-0.017,70.0994,92.7715,40.0,0.0,74.07,74.3,72.69,74.18,3019636.0,1
60.2122,85.0488,64.5536,2.5766,2.4121,-0.1645,69.532,56.8579,50.0,0.0,71.41,73.74,70.99,73.74,2498132.0,1
39.2898,59.5494,58.7682,2.6177,2.2389,-0.3789,68.9464,-13.6032,60.0,10.0,69.11,71.39,69.11,71.16,2738462.0,1
24.7811,36.0384,55.1414,2.7125,2.2475,-0.465,68.6452,-47.9815,70.0,20.0,68.46,70.69,68.3,69.74,5145832.0,1
17.1428,22.2816,50.7783,2.8287,2.3702,-0.4585,68.5035,-73.3612,0.0,30.0,68.52,69.66,67.97,68.15,3651356.0,1
20.5994,16.0234,51.9803,2.9433,2.654,-0.2893,68.5683,-71.0479,10.0,40.0,67.76,69.86,67.06,68.57,5598403.0,1
36.1446,13.1234,50.3951,3.0157,2.9349,-0.0808,68.5825,-63.5606,0.0,50.0,69.82,70.88,66.15,67.94,6314138.0,-1
57.5248,32.6513,51.5126,3.0358,3.3148,0.279,68.6886,-21.3135,10.0,60.0,71.72,72.18,68.01,68.4,7926733.0,-1
74.5461,62.6591,60.7965,2.9661,3.7047,0.7386,68.7442,45.9248,20.0,70.0,74.66,74.66,71.16,71.92,4758649.0,-1
81.5026,77.264,67.5858,2.7814,3.7907,1.0092,68.3057,94.3314,0.0,80.0,75.38,75.8,73.93,74.1,3145859.0,-1
87.8451,83.7152,72.8234,2.5291,3.6236,1.0944,67.4935,121.6867,10.0,90.0,73.05,75.95,72.53,75.66,4347154.0,1
90.0263,83.5287,66.9947,2.2555,3.199,0.9434,66.3428,128.8167,20.0,100.0,74.65,76.26,71.07,71.71,7855480.0,1
90.351,96.2913,75.5614,2.0197,3.0121,0.9924,65.5911,203.6458,30.0,100.0,72.92,74.48,72.3,74.03,4354791.0,-1
83.4571,90.2589,69.7738,1.7716,2.4939,0.7223,64.4012,178.35,0.0,100.0,67.62,70.635,66.93,70.17,4320381.0,1
73.6437,84.5029,67.8946,1.591,2.1886,0.5976,63.5918,166.5386,0.0,100.0,65.94,69.21,64.83,69.11,4692733.0,1
63.9711,75.6096,61.5403,1.4416,1.875,0.4334,62.8181,109.1574,10.0,30.0,65.87,67.02,65.48,65.98,2463383.0,1
56.4746,60.8188,58.947,1.3332,1.7656,0.4323,62.3803,46.279,20.0,40.0,62.92,65.22,62.63,64.87,1477254.0,1
56.4874,55.4849,61.3276,1.2252,1.7131,0.4879,62.0382,84.5814,30.0,50.0,64.16,65.65,63.865,65.58,3772676.0,-1
60.1693,53.1201,58.4794,1.1032,1.549,0.4458,61.5461,67.8198,40.0,60.0,63.95,64.9,63.34,64.24,2545921.0,1
67.9396,60.8573,56.9681,0.9917,1.4533,0.4615,61.1748,63.0474,0.0,70.0,64.57,64.96,62.27,63.53,5079417.0,1
68.2388,66.5305,57.6598,0.8764,1.3821,0.5058,60.8517,68.7137,10.0,80.0,63.32,63.95,62.37,63.79,3089274.0,1
67.5815,76.431,55.8989,0.7499,1.2448,0.4949,60.4453,102.7124,0.0,90.0,66.8,66.88,62.49,62.84,4097528.0,-1
61.956,61.7549,62.1969,0.6262,1.148,0.5218,60.1165,163.1545,0.0,100.0,67.65,68.11,62.86,65.41,10265761.0,-1
70.4207,64.5584,58.1515,0.4957,0.7464,0.2507,59.374,73.0316,10.0,70.0,56.97,63.215,56.39,62.96,4682036.0,1
73.1628,59.5547,44.8943,0.4331,0.4721,0.039,58.875,-5.7912,20.0,80.0,62.07,62.14,55.87,56.84,5892359.0,1
72.4754,87.149,60.3603,0.4233,0.7374,0.314,59.1777,107.1614,30.0,90.0,62.64,62.71,59.705,62.34,4599291.0,-1
57.6169,72.7846,59.1395,0.3448,0.506,0.1612,58.7391,120.6461,40.0,100.0,62.31,63.38,60.82,61.81,4760933.0,1
45.6278,57.4927,58.773,0.3045,0.2572,-0.0473,58.3134,60.128,50.0,20.0,57.24,61.96,56.97,61.64,5596991.0,1
36.3066,42.5734,46.5346,0.3163,-0.0468,-0.3631,57.8511,-54.5521,60.0,30.0,57.16,57.958,56.43,56.82,4661827.0,1
27.2507,36.8175,44.9478,0.4071,0.056,-0.3511,58.0104,-84.2437,70.0,40.0,56.8,57.54,55.76,56.3,6104604.0,1
18.401,29.529,51.6922,0.4949,0.2391,-0.2558,58.2666,-33.1593,80.0,50.0,56.63,59.85,56.24,58.84,9027818.0,-1
19.3539,15.4057,45.6207,0.5588,0.2112,-0.3476,58.1971,-110.9189,90.0,60.0,54.74,57.1,54.52,56.74,4197914.0,1
