SlowK,SlowD,RSI,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
63.3154,41.7311,59.2341,2.8231,79.8555,50.0,40.0,3.37,3.501,3.2,3.24,271179.0,1
42.4037,24.4094,62.7146,2.7636,106.3408,60.0,50.0,3.14,3.58,2.97,3.4,3762730.0,1
19.4743,17.3006,59.0613,2.6726,82.524,70.0,60.0,2.57,3.55,2.56,3.13,5068627.0,1
11.3501,17.205,49.6965,2.6073,-4.7822,80.0,70.0,2.69,3.1,2.48,2.56,5550332.0,1
21.0774,19.6719,52.1449,2.6141,-49.7846,90.0,80.0,2.44,2.75,2.28,2.69,5114831.0,1
19.1875,16.1201,47.8782,2.6032,8.842,100.0,90.0,3.37,3.61,2.25,2.45,7989212.0,-1
18.7509,14.6976,70.5098,2.6251,259.5469,10.0,100.0,2.41,5.04,2.41,3.41,58557060.0,1
10.4219,17.2142,47.0414,2.513,-46.2234,20.0,10.0,2.37,2.85,2.34,2.41,1881480.0,1
14.9201,24.1706,45.3989,2.5277,-115.5722,30.0,20.0,2.51,2.51,2.31,2.368,79307.0,-1
26.3005,32.511,48.7002,2.5505,-111.8621,40.0,30.0,2.57,2.6406,2.32,2.47,172243.0,-1
31.2912,36.8952,53.8864,2.562,-13.2642,50.0,40.0,2.66,3.13,2.45,2.62,517695.0,-1
39.9413,37.2711,55.6648,2.5537,53.5459,60.0,50.0,2.68,3.3,2.6,2.67,1632363.0,-1
39.4532,34.7627,53.1606,2.5371,-40.7343,0.0,60.0,2.8,2.8,2.46,2.58,164430.0,-1
32.4189,36.9057,60.3149,2.531,43.4827,0.0,70.0,2.68,3.03,2.57,2.79,699011.0,-1
32.416,48.8348,57.364,2.494,2.0734,0.0,80.0,2.42,2.7738,2.41,2.67,494498.0,1
45.8823,63.8605,48.1023,2.4688,-35.4902,10.0,90.0,2.7,2.7451,2.25,2.35,758168.0,1
68.2062,74.2064,66.3414,2.4858,64.4316,20.0,100.0,3.08,3.3399,2.27,2.8,1372049.0,-1
77.493,77.5392,80.3573,2.4409,103.8027,0.0,90.0,2.97,3.05,2.6901,3.03,361429.0,-1
76.92,75.0882,78.7784,2.3568,136.343,10.0,100.0,3.0,3.2,2.68,2.94,1193361.0,1
78.2044,68.4682,78.4316,2.2734,172.6683,0.0,100.0,2.55,3.1799,2.44,2.92,1119585.0,1
70.1401,57.0318,69.445,2.1811,133.6709,10.0,100.0,2.57,2.7,2.393,2.52,538002.0,1
57.0599,50.3822,70.7719,2.1327,188.6613,20.0,100.0,2.65,2.6975,2.41,2.54,463553.0,-1
43.8954,50.3332,64.1432,2.0745,138.248,0.0,80.0,2.22,2.4,2.11,2.325,277342.0,1
50.1913,53.7499,59.315,2.0387,102.8723,0.0,90.0,2.19,2.2731,2.03,2.2,275779.0,1
56.913,51.0764,60.4878,2.0156,194.7282,10.0,100.0,2.1,2.69,1.91,2.22,2368879.0,1
54.1453,45.893,55.7646,1.9865,83.5861,20.0,40.0,2.05,2.1,1.99,2.1,68861.0,1
42.171,40.1703,53.2498,1.9702,102.5479,30.0,50.0,2.1,2.18,1.99,2.04,305124.0,1
41.3626,37.4184,50.7288,1.9603,28.1803,40.0,0.0,1.99,2.04,1.9,1.98,203747.0,1
36.9774,33.1547,51.1424,1.9574,84.9943,0.0,10.0,2.1,2.22,1.9,1.99,408408.0,-1
33.9153,29.1621,55.6783,1.9528,97.2231,10.0,20.0,1.87,2.19,1.79,2.101,470775.0,1
28.5714,28.114,46.8491,1.9316,-32.0997,20.0,30.0,1.98,1.99,1.83,1.87,132261.0,1
24.9996,27.5319,48.7406,1.9404,137.572,30.0,40.0,1.98,2.38,1.8,1.92,884221.0,-1
30.771,30.5896,47.5981,1.9433,-76.2838,40.0,50.0,1.84,1.94,1.769,1.89,144860.0,1
26.825,28.4891,44.6368,1.951,-107.3008,50.0,60.0,1.97,1.9703,1.75,1.81,154429.0,-1
34.1729,29.5196,51.8953,1.9711,-4.6312,60.0,70.0,1.87,2.05,1.86,2.03,336977.0,-1
24.4695,25.3209,47.3413,1.9627,-76.8483,70.0,80.0,1.87,1.94,1.81,1.9,212798.0,1
29.9164,24.7099,47.9701,1.9716,-64.8066,80.0,90.0,1.82,2.1028,1.75,1.92,922359.0,1
21.5768,17.6264,43.9501,1.979,-20.7534,90.0,100.0,1.93,2.4701,1.77,1.8,4706606.0,1
22.6366,18.1329,47.5307,2.0046,-126.9504,100.0,50.0,1.9,1.9462,1.68,1.93,204760.0,-1
8.6657,23.4525,43.7216,2.0153,-103.8911,100.0,60.0,1.99,2.22,1.78,1.81,982574.0,1
23.0962,40.9543,47.052,2.0446,-135.9617,100.0,0.0,1.91,1.9783,1.85,1.94,73389.0,-1
38.5954,55.4627,46.2009,2.0595,-126.7619,0.0,0.0,2.15,2.15,1.9,1.91,227833.0,-1
61.1712,60.9519,52.248,2.0809,-8.9258,0.0,0.0,2.17,2.2458,2.01,2.15,124619.0,-1
