SlowK,SlowD,RSI,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
69.2487,52.7568,48.8245,629.4113,-0.2841,70.0,20.0,623.7,628.5,623.7,628.5,4396.0,1
54.7741,35.4225,45.1659,629.5415,-28.8851,80.0,30.0,618.99,632.7738,615.58,619.65,23919.0,1
34.2477,22.7623,45.5949,631.2004,-34.1377,90.0,40.0,618.7,635.3116,613.11,621.2,30899.0,-1
17.2455,18.7686,45.5348,632.8755,-71.2786,100.0,0.0,587.15,637.68,587.1,621.0,45171.0,1
16.7936,26.0537,37.3438,634.8183,-148.2987,100.0,0.0,603.98,614.51,592.5,594.69,35226.0,1
22.2665,35.999,38.4719,640.7868,-187.5635,90.0,10.0,631.62,631.62,596.29,600.39,24095.0,-1
39.1009,45.5757,43.8184,646.7959,-154.1443,100.0,20.0,642.0115,645.81,594.98,625.97,28305.0,-1
46.6296,47.139,46.7024,650.0193,-16.9231,20.0,30.0,658.0,668.0325,636.91,638.6,32355.0,-1
50.9968,42.9942,50.3893,651.904,33.2317,30.0,0.0,666.43,671.44,641.4009,654.2,28818.0,-1
43.7908,41.1532,54.2432,651.8355,43.9408,40.0,10.0,652.73,669.8,645.1,669.8,12443.0,-1
34.1952,45.7442,48.365,649.5348,-33.4465,50.0,0.0,649.16,651.75,639.63,644.0,12165.0,1
45.4736,51.7424,48.2258,650.581,-38.7878,60.0,0.0,634.61,664.53,630.8,643.4,30862.0,1
57.5637,47.341,47.9373,651.862,-47.7782,70.0,10.0,667.17,667.17,636.53,642.03,29275.0,-1
52.1897,30.8839,53.1335,653.5213,12.4291,80.0,20.0,692.59,692.59,662.2,668.75,68264.0,-1
32.2694,16.9315,56.4847,651.611,-5.0202,90.0,30.0,627.76,697.21,620.2,685.0,141039.0,1
8.1924,15.2435,46.4342,647.1129,-91.2185,100.0,40.0,617.61,644.6,614.75,632.9,41032.0,1
10.3328,23.772,44.7273,649.6241,-85.8407,10.0,50.0,630.02,656.8,616.86,624.9,37610.0,-1
27.2055,39.1863,45.4111,653.6308,-69.7537,0.0,60.0,660.52,661.0,629.1,629.1,14863.0,-1
33.7777,53.7556,50.9148,657.6132,32.3891,0.0,70.0,699.44,714.4299,662.1,662.1,21627.0,-1
56.5757,73.757,57.7029,657.4752,36.911,0.0,80.0,647.849,697.69,635.01,697.69,28517.0,1
70.9133,85.911,49.8951,652.2602,60.3589,10.0,90.0,731.245,743.1,651.47,651.47,32699.0,-1
93.7821,90.7173,71.6718,652.868,163.8408,20.0,100.0,732.11,745.0,692.94,736.0,29159.0,-1
93.0375,88.0156,71.4061,641.5512,207.4097,30.0,100.0,664.0,734.0,656.0055,734.0,36851.0,1
85.3323,83.1888,60.0208,628.9018,157.3612,40.0,100.0,642.6,675.0,642.6,666.54,45312.0,1
85.6772,82.0679,54.0951,624.0313,111.461,50.0,0.0,634.01,644.3619,628.5,642.24,23376.0,1
78.557,74.5803,50.7914,621.918,58.3837,60.0,0.0,627.18,645.481,616.0,630.01,24675.0,1
81.9696,62.9559,53.7792,621.2406,51.838,70.0,10.0,630.0,645.7952,618.26,640.5,64318.0,-1
63.2143,41.8773,49.5083,618.9758,4.9998,80.0,20.0,635.0,636.23,602.55,623.74,43568.0,1
43.6838,23.6456,53.4551,618.7691,2.1484,90.0,30.0,593.27,649.45,571.17,638.62,45906.0,1
18.7338,12.8562,40.2118,616.4184,-116.8631,100.0,40.0,590.1,597.5,567.0001,594.41,34820.0,1
8.5191,16.8814,39.4342,620.2596,-107.4186,30.0,50.0,602.59,615.7279,585.0,592.1,23958.0,-1
11.3156,33.7088,39.8787,624.9769,-130.1002,40.0,60.0,613.85,626.99,581.5,594.3,30181.0,-1
30.8095,54.6371,41.3668,630.0564,-119.5622,50.0,70.0,611.25,631.995,600.0,602.1,19477.0,-1
59.0012,64.1051,41.126,634.7564,-125.9443,60.0,0.0,647.9,649.83,600.005,601.15,27110.0,-1
74.1005,57.4365,52.066,640.2625,65.2132,70.0,10.0,674.88,679.31,640.35,655.15,43079.0,-1
59.2134,44.6307,56.3235,638.9041,114.4263,80.0,20.0,638.35,685.8,638.35,672.2,64142.0,1
38.9955,35.0948,49.3619,634.936,-74.5372,90.0,30.0,613.0,645.91,608.0,640.35,48216.0,1
35.6833,33.4462,39.7727,634.9137,-143.371,100.0,40.0,632.2,672.98,581.0001,605.0,55067.0,1
30.6056,32.3137,45.3777,639.8967,-32.5903,30.0,50.0,648.4,670.0,620.93,630.62,33093.0,-1
34.0497,38.3084,52.1614,641.9616,-28.5711,40.0,60.0,632.19,656.89,613.26,656.89,35944.0,-1
32.2859,45.2158,45.0127,640.5995,-104.2605,50.0,70.0,631.4,640.8,630.03,633.25,11729.0,1
48.5895,52.6022,47.6673,642.6392,-12.7647,60.0,80.0,655.79,673.405,625.715,643.79,27179.0,-1
54.7719,48.917,50.251,643.4812,79.4274,70.0,90.0,662.4899,680.97,641.0,654.0,20151.0,-1
54.4453,41.9878,52.3755,643.0007,163.0584,80.0,100.0,657.66,695.1,646.555,662.49,26006.0,-1
37.5337,38.582,49.1167,641.2521,57.7009,90.0,50.0,667.95,673.45,635.55,648.2,18496.0,1
33.9845,43.0728,48.6095,641.2728,-60.9463,100.0,60.0,631.99,661.0,614.04,645.91,33047.0,1
44.2279,49.1438,42.8291,641.6199,-188.883,100.0,70.0,650.0,650.0,614.15,620.1,37605.0,1
51.006,43.0173,47.7761,645.6635,-32.5576,60.0,80.0,658.77,675.87,623.3,646.5,15334.0,-1
52.1975,37.3608,52.0449,646.5546,76.661,70.0,0.0,643.8,667.33,637.3,667.33,15841.0,-1
25.8483,29.9539,45.754,644.6297,-51.5066,80.0,10.0,656.89,680.0,624.5,637.29,20551.0,1
34.0366,37.4316,47.7724,646.6744,-93.8847,0.0,20.0,627.9005,655.76,626.16,648.04,28888.0,1
29.9767,39.0474,41.6258,647.4923,-153.2657,10.0,0.0,650.3,678.71,619.53,619.53,37958.0,1
48.2815,43.0813,48.9919,652.4553,-15.0453,20.0,10.0,643.0,660.0,643.0,660.0,30154.0,-1
38.8841,36.7714,46.9023,652.4092,-39.7297,0.0,20.0,655.05,667.53,645.16,650.0,22348.0,-1
42.0783,36.9072,49.535,653.7694,20.3502,0.0,0.0,647.05,680.0,647.05,666.0,34051.0,-1
29.3517,33.8051,44.9107,653.287,-38.1398,10.0,10.0,664.87,674.77,640.0,641.99,17893.0,1
39.2915,37.9318,46.345,656.1202,-6.3685,20.0,20.0,644.93,675.58,643.05,651.0,25118.0,1
32.7721,38.0768,43.6466,658.0881,-36.9655,30.0,30.0,674.95,678.9,635.55,635.99,40876.0,-1
41.7318,45.8939,50.1319,662.4528,27.1587,40.0,40.0,636.01,691.0,635.8,678.89,31600.0,-1
39.7265,50.8659,41.9996,661.3941,-35.6165,50.0,50.0,664.23,688.36,625.0,633.91,40250.0,1
56.2235,53.3056,45.2239,666.5243,-42.3468,60.0,60.0,651.01,675.27,617.5,655.76,28321.0,-1
56.6477,43.6087,46.7678,669.3075,19.1215,70.0,70.0,715.0,727.99,625.0,666.2,34325.0,-1
47.0455,31.7498,54.0354,671.0167,78.4664,80.0,80.0,697.82,716.52,662.4,711.9,25281.0,-1
27.1329,29.2552,44.9557,666.5283,-62.2709,90.0,90.0,625.11,680.0,600.82,658.0,53101.0,1
21.071,32.6768,35.9814,668.9964,-69.4631,100.0,100.0,618.01,755.0,579.0,615.5,40875.0,1
39.5617,40.268,36.1813,677.8077,-122.8337,100.0,20.0,597.1,704.13,592.55,617.1,72099.0,1
37.3978,36.9645,39.0616,687.6522,-130.5489,80.0,0.0,686.66,704.9,617.95,640.7,43662.0,-1
43.8444,33.9242,50.1063,695.5766,-27.7333,90.0,0.0,617.24,750.0,617.24,715.03,45795.0,-1
29.6515,29.0182,23.8062,694.3987,-208.794,100.0,10.0,688.45,692.0,603.0,616.31,32544.0,1
28.2768,29.3857,38.9913,706.9345,-90.8579,90.0,20.0,677.54,717.23,663.5,697.35,31827.0,-1
29.1264,32.9346,32.5029,709.8653,-95.9665,100.0,30.0,678.9,746.4,647.0,683.78,24793.0,1
30.754,36.1182,32.1247,715.1231,-107.8563,20.0,40.0,715.06,720.02,679.0,682.99,32367.0,-1
38.9232,41.8719,41.7795,721.2431,-32.837,30.0,50.0,704.29,728.24,684.05,719.19,31249.0,-1
38.6773,48.9661,42.0434,723.1469,67.1668,40.0,60.0,714.95,756.36,714.95,720.03,23064.0,-1
