SlowK,SlowD,RSI,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
74.7644,67.3906,52.6845,2.7209,120.8462,50.0,0.0,2.75,2.83,2.73,2.8,53542.0,1
66.1064,58.7871,49.6607,2.7096,75.4263,60.0,10.0,2.7,2.94,2.6287,2.71,258133.0,1
61.3012,48.5498,48.3402,2.7095,-2.7803,70.0,0.0,2.55,2.74,2.51,2.67,104953.0,1
48.9536,39.8272,42.9527,2.7151,-53.2452,80.0,10.0,2.55,2.68,2.47,2.51,207291.0,1
35.3947,33.3067,44.2506,2.7444,-60.041,90.0,20.0,2.5,2.75,2.39,2.56,324615.0,-1
35.1332,30.5932,42.3699,2.7708,-119.206,100.0,30.0,2.41,2.57,2.17,2.5,692638.0,1
29.3921,24.6415,38.973,2.8095,-128.3528,100.0,40.0,2.77,2.798,2.33,2.39,445699.0,-1
27.2544,20.7143,47.7179,2.8694,-59.4688,90.0,0.0,2.75,2.87,2.63,2.77,241332.0,-1
17.2779,20.4447,46.8708,2.8836,-106.2686,100.0,10.0,2.48,2.745,2.38,2.74,526303.0,1
17.6106,23.9333,38.8454,2.9041,-123.5012,100.0,0.0,2.91,2.9451,2.45,2.47,1503541.0,-1
26.4457,28.0326,49.5801,2.9661,-67.6963,50.0,10.0,2.87,3.09,2.81,2.9,749124.0,-1
27.7437,27.0651,49.5801,2.9756,-101.8386,60.0,20.0,2.85,2.94,2.67,2.9,389172.0,1
29.9084,23.7702,50.1017,2.9864,-41.3003,70.0,30.0,3.06,3.8,2.75,2.92,3486416.0,-1
23.5432,20.6836,54.4869,2.9959,-30.4747,0.0,40.0,3.19,3.4,3.03,3.09,1171998.0,-1
17.8592,22.9698,56.3135,2.9824,-59.2348,0.0,50.0,2.73,3.19,2.6,3.16,953201.0,1
20.6486,31.5639,46.6569,2.9571,-69.7139,10.0,60.0,3.1,3.24,2.578,2.74,949607.0,1
30.4015,42.5471,54.9922,2.9881,-5.8889,20.0,70.0,3.46,3.61,2.88,3.06,1701472.0,-1
43.6417,56.8273,71.994,2.9778,105.4755,30.0,80.0,3.41,4.35,3.41,3.53,3864773.0,-1
53.598,67.6716,68.2326,2.8989,100.6918,0.0,90.0,3.55,4.15,3.25,3.33,2791349.0,1
73.2423,71.5716,74.5396,2.8373,167.738,0.0,100.0,3.4,4.4,3.22,3.47,2286877.0,1
76.1745,60.4869,73.4346,2.7469,159.8557,0.0,100.0,3.56,3.79,3.07,3.4,1294962.0,-1
65.2981,47.3122,75.1111,2.6537,150.1927,10.0,100.0,3.08,3.47,2.9201,3.44,784013.0,1
39.9882,41.4,68.2644,2.5413,90.3982,20.0,70.0,2.78,3.2732,2.67,3.02,1153582.0,1
36.6502,50.802,63.7808,2.4729,45.5268,30.0,80.0,2.54,2.94,2.48,2.81,940487.0,1
47.5617,64.7623,57.9207,2.4248,17.5773,40.0,90.0,2.65,2.7,2.4414,2.58,729532.0,1
68.194,76.0983,61.8356,2.4026,96.2096,50.0,100.0,2.75,3.4,2.64,2.68,2167360.0,-1
78.5311,73.8544,64.9987,2.363,103.6933,60.0,80.0,2.89,2.97,2.67,2.76,579109.0,-1
81.5699,60.8023,70.6944,2.3063,186.0474,0.0,90.0,2.89,3.0999,2.71,2.9,640068.0,-1
61.4621,41.0626,70.3604,2.2214,238.6004,0.0,100.0,2.46,3.1,2.36,2.88,2355256.0,1
39.3749,28.6947,61.9767,2.1274,64.4805,0.0,30.0,2.06,2.5,1.95,2.45,2110120.0,1
22.3508,28.3806,50.9397,2.0813,17.4431,0.0,40.0,2.09,2.58,1.92,2.07,2674180.0,1
24.3584,37.9007,51.2923,2.0829,38.1378,0.0,50.0,2.18,2.48,2.07,2.08,935575.0,-1
38.4326,50.9915,55.0661,2.0833,28.2358,10.0,60.0,2.08,2.28,2.0,2.19,208536.0,-1
50.9112,63.1084,51.8798,2.0681,24.7588,20.0,70.0,2.29,2.2999,2.0208,2.08,189469.0,-1
63.6308,68.256,59.4707,2.0664,82.1544,30.0,0.0,2.36,2.375,2.12,2.3,300850.0,-1
74.7832,66.0437,61.6861,2.033,105.631,40.0,0.0,2.31,2.53,2.25,2.36,428170.0,-1
66.3541,51.4739,61.2531,1.9863,50.9171,50.0,10.0,2.13,2.65,2.1,2.34,951350.0,1
56.9939,35.9494,56.1202,1.9357,-26.6407,60.0,20.0,1.85,2.1598,1.85,2.11,323485.0,1
31.0737,20.9668,49.5871,1.9108,-65.9956,70.0,30.0,1.95,1.95,1.83,1.86,243466.0,1
19.7806,15.0302,52.1004,1.9181,-50.3995,0.0,40.0,1.79,2.14,1.78,1.95,528483.0,1
12.0462,14.5393,48.442,1.9135,-77.5141,0.0,50.0,1.72,1.9,1.7132,1.81,275459.0,1
