SlowK,SlowD,RSI,MACD_Signal,MACD,MACD_Hist,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
59.0634,38.893,41.4298,0.7642,-1.2134,-1.9776,49.5788,-39.5377,50.0,0.0,45.41,46.12,44.85,45.67,136848.0,1
36.4495,24.9387,40.4072,1.2586,-0.99,-2.2487,50.1372,-59.7685,60.0,10.0,44.36,45.49,43.0401,45.18,506725.0,1
21.1659,18.4467,38.1872,1.8208,-0.6406,-2.4614,50.8454,-78.2964,70.0,20.0,45.49,46.0,42.6,44.06,652603.0,-1
17.2008,21.017,39.1362,2.4362,-0.0713,-2.5075,51.8147,-99.8613,80.0,0.0,43.53,45.535,43.07,44.87,942670.0,1
16.9735,31.3582,35.5787,3.063,0.5739,-2.4891,52.8068,-167.3455,90.0,10.0,42.05,44.25,40.502,42.87,1145263.0,1
28.8767,46.536,35.3576,3.6853,1.5927,-2.0926,54.2264,-255.1063,100.0,0.0,48.5,48.59,40.085,42.74,1742626.0,-1
48.2244,59.3029,45.5499,4.2085,2.8831,-1.3253,55.8673,-190.661,10.0,0.0,55.8,55.8,49.52,52.16,840473.0,-1
62.5071,64.3677,50.0732,4.5398,3.5292,-1.0106,56.3969,-22.3463,20.0,0.0,57.57,59.9,55.35,55.44,506538.0,-1
67.1772,59.0076,53.4212,4.7925,3.9684,-0.824,56.5336,-40.2127,30.0,10.0,57.38,58.6299,53.76,57.74,554533.0,-1
63.4189,47.4783,54.2587,4.9985,4.2372,-0.7613,56.3613,-35.454,40.0,20.0,57.62,58.94,55.35,58.33,595905.0,-1
46.4267,33.8998,53.5815,5.1888,4.4585,-0.7303,56.08,-30.2277,50.0,30.0,60.77,60.77,56.35,57.72,549811.0,-1
32.5894,25.4158,55.0485,5.3714,4.7382,-0.6331,55.8458,-64.9143,60.0,40.0,53.0,59.06,50.16,58.94,907218.0,1
22.6833,20.5464,48.7322,5.5296,4.9022,-0.6275,55.4037,-103.3363,70.0,50.0,57.41,58.82,50.795,52.84,1115672.0,1
20.9747,21.1528,53.0788,5.6865,5.6612,-0.0254,55.77,-50.4122,0.0,60.0,59.5,62.48,55.34,56.79,1539822.0,-1
17.9813,30.6324,56.3543,5.6929,6.1454,0.4525,55.6242,-52.9549,0.0,70.0,53.0,59.99,49.34,59.65,1582407.0,1
24.5024,46.0508,49.4085,5.5797,6.3829,0.8031,55.0491,-37.7949,0.0,80.0,63.93,65.5129,49.0118,52.58,2643158.0,-1
49.4135,59.9659,59.9061,5.3789,7.313,1.934,55.4019,51.5973,10.0,90.0,73.23,73.97,60.75,61.23,2515929.0,-1
64.2366,66.8371,74.847,4.8954,7.513,2.6176,54.5693,115.9388,0.0,100.0,73.0,83.95,66.21,70.26,2380904.0,-1
66.2475,70.5457,74.6008,4.241,6.7397,2.4987,52.3277,103.3257,10.0,80.0,61.1,71.61,61.06,69.87,1632397.0,1
70.0273,77.6307,68.0371,3.6164,5.6943,2.0779,49.8217,78.7677,0.0,90.0,59.6,62.1,57.75,60.78,1058731.0,1
75.3623,82.7243,66.3224,3.0969,5.2027,2.1058,48.2562,128.1467,10.0,100.0,71.78,73.37,58.64,58.79,2439351.0,-1
87.5025,88.512,87.1226,2.5704,4.7022,2.1318,46.7514,200.5976,20.0,100.0,56.5635,69.79,56.5635,68.63,3154924.0,1
85.308,86.2648,77.7335,2.0375,2.9931,0.9556,43.6259,204.3378,30.0,100.0,50.12,59.3988,50.12,53.93,1388611.0,1
92.7255,77.9762,74.264,1.7986,2.2648,0.4662,42.1539,233.1669,40.0,100.0,46.0,51.94,43.57,50.91,1267103.0,1
80.7609,61.7626,65.6295,1.682,1.6098,-0.0722,40.903,179.8736,50.0,100.0,43.59,46.33,40.2,45.5,912359.0,1
60.4423,47.1049,57.8986,1.7001,1.3013,-0.3989,40.2463,23.798,60.0,0.0,39.45,42.4299,38.56,42.21,449626.0,1
44.0847,37.2623,50.8879,1.7998,1.2234,-0.5764,39.9658,-52.3086,70.0,10.0,39.33,40.45,38.89,39.89,962391.0,1
36.7878,30.3069,47.9989,1.9439,1.3426,-0.6013,39.9766,-60.1315,80.0,20.0,40.72,42.17,38.27,39.03,536048.0,-1
30.9144,26.8312,52.8461,2.0942,1.5626,-0.5316,40.1118,-56.6985,0.0,30.0,39.63,40.6,38.29,40.52,563871.0,-1
23.2187,27.4139,49.978,2.2271,1.6691,-0.5581,40.0535,-82.97,0.0,40.0,38.79,39.615,36.92,39.58,696378.0,1
26.3606,36.3504,46.4876,2.3667,1.8764,-0.4903,40.1211,-60.6337,10.0,50.0,40.45,40.9099,37.65,38.46,591353.0,-1
32.6625,47.8565,53.336,2.4892,2.2277,-0.2615,40.3585,20.6394,20.0,60.0,43.57,44.26,39.17,40.75,604546.0,-1
50.0282,65.012,57.9312,2.5546,2.4106,-0.144,40.3025,43.9547,30.0,70.0,40.69,44.59,39.39,42.12,566506.0,1
60.8788,72.4939,53.1592,2.5906,2.4694,-0.1212,40.0429,9.7682,40.0,80.0,42.78,43.1,39.5801,40.32,506950.0,-1
84.1291,70.5758,64.5884,2.6209,2.6919,0.071,40.0033,83.0662,50.0,0.0,43.94,44.93,42.88,43.44,329950.0,-1
72.4737,51.4397,64.5444,2.6032,2.619,0.0158,39.5123,94.1652,60.0,10.0,45.0,45.795,43.05,43.42,415805.0,-1
