SlowK,SlowD,RSI,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
68.7458,69.3397,76.9993,21.9118,83.9971,0.0,90.0,24.83,25.1,24.6,24.72,318172.0,1
68.2386,72.67,78.1901,21.5106,101.4376,0.0,100.0,23.95,26.04,23.94,24.83,1551114.0,1
71.0348,80.5763,75.3873,21.0365,86.387,0.0,80.0,23.1712,24.51,23.17,23.93,1702355.0,1
78.7365,87.7051,72.5669,20.6231,95.6779,10.0,90.0,24.4152,24.7166,22.71,23.13,4070403.0,-1
91.9577,91.0927,85.8473,20.265,152.9888,20.0,100.0,24.05,25.38,23.85,24.33,2129472.0,-1
92.4213,90.0861,85.1251,19.6842,151.365,30.0,100.0,22.6,24.2,21.695,24.02,2346679.0,1
88.8992,86.966,80.8262,19.0711,114.0338,40.0,100.0,21.17,22.35,19.95,22.29,1632383.0,1
88.9379,80.7776,76.1682,18.6171,125.9693,50.0,90.0,21.22,21.5138,20.55,20.99,1152301.0,1
83.0608,67.6951,78.1395,18.2835,188.6175,0.0,100.0,21.64,21.78,20.21,21.14,1944201.0,-1
70.3342,52.2745,77.8458,17.881,246.2851,0.0,100.0,18.99,21.15,18.9794,21.1,3258513.0,1
49.6904,45.2668,67.9808,17.433,85.4019,0.0,60.0,18.64,19.08,18.3822,18.92,909590.0,1
36.7988,49.1865,65.7116,17.2314,30.1339,10.0,70.0,18.17,18.66,17.6,18.56,1333753.0,1
49.3111,61.7902,64.1888,17.0521,27.9593,0.0,80.0,18.1,18.55,17.53,18.32,980564.0,1
61.4496,68.8185,63.2084,16.8813,58.0324,0.0,90.0,19.28,19.3572,18.03,18.16,1291189.0,-1
74.61,74.7635,76.1599,16.7089,97.3071,10.0,100.0,18.46,19.73,18.4,19.31,1837172.0,-1
70.3961,79.1309,71.5083,16.3548,91.2819,0.0,90.0,18.25,19.18,17.96,18.33,1420171.0,1
79.2843,82.5192,69.0696,16.0892,106.7936,10.0,100.0,18.24,19.33,17.67,17.89,1303308.0,1
87.7124,82.2516,72.4965,15.8481,149.9963,20.0,100.0,18.98,19.28,18.12,18.16,1361678.0,-1
80.5608,78.6874,77.564,15.5342,175.0733,30.0,100.0,17.15,18.61,16.9001,18.6,1292395.0,1
78.4816,74.9321,69.659,15.1194,140.8549,40.0,90.0,15.91,17.0648,15.65,16.96,1162076.0,1
77.0197,64.8902,60.2922,14.8776,151.8244,50.0,100.0,16.49,17.25,15.21,15.74,1746043.0,1
69.2949,46.768,71.6298,14.774,258.5384,0.0,100.0,15.65,16.64,15.5,16.435,1437022.0,1
48.3559,31.9764,62.6483,14.5572,130.2078,0.0,60.0,14.53,15.5,14.35,15.49,1229848.0,1
22.6532,28.7583,49.7895,14.4493,-16.1481,0.0,70.0,14.64,14.75,14.19,14.6,1569544.0,1
24.9201,41.8297,50.4926,14.4517,13.7514,10.0,80.0,14.35,14.82,14.27,14.64,950630.0,1
38.7017,59.8142,44.6934,14.4487,-10.7331,20.0,90.0,14.78,14.87,14.17,14.31,1173814.0,-1
61.8673,75.3457,51.684,14.4919,109.8927,30.0,100.0,14.82,15.75,14.78,14.78,2025067.0,-1
78.8737,81.2314,51.8559,14.4815,60.6298,40.0,10.0,14.87,14.97,14.4707,14.79,1398927.0,-1
85.296,73.5106,53.1279,14.4682,40.5438,50.0,20.0,14.94,15.04,14.26,14.87,1378749.0,-1
79.5244,55.1628,54.1744,14.4417,76.5535,60.0,0.0,15.1,15.15,14.69,14.94,852191.0,-1
55.7115,34.8941,55.4381,14.4016,47.0917,70.0,10.0,14.5,15.22,14.36,15.03,1496179.0,1
30.2524,22.4063,45.1726,14.3431,-53.4265,80.0,20.0,14.45,14.7,13.84,14.27,1188805.0,1
18.7185,19.1254,38.7005,14.3892,-102.9124,90.0,30.0,13.9,14.38,13.79,13.86,761706.0,1
