SlowK,SlowD,RSI,MACD,MACD_Hist,MACD_Signal,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
35.8868,63.3723,55.7443,26.8183,1.8689,24.9495,271.7939,9.4886,0.0,70.0,288.5,291.0,277.85,279.97,116228.0,1
66.6686,82.908,59.3872,28.7711,4.2889,24.4822,270.6259,44.4462,0.0,80.0,312.8,315.1471,286.125,289.49,723670.0,-1
87.5614,92.5223,69.2636,29.8758,6.4658,23.41,267.931,93.9592,10.0,90.0,334.39,334.59,308.0,312.57,438000.0,-1
94.4941,92.3639,79.3965,28.5012,6.7077,21.7936,261.554,144.8537,20.0,100.0,317.13,336.99,316.9841,332.25,536530.0,-1
95.5114,87.1754,76.488,24.3285,4.2118,20.1167,251.4546,181.4841,30.0,100.0,298.53,326.8099,297.61,313.76,684745.0,1
87.0861,77.4598,73.4279,20.5312,1.4675,19.0637,242.5538,206.705,40.0,100.0,280.0,297.13,273.62,297.0,908599.0,1
78.9285,67.299,69.4378,17.0924,-1.6044,18.6968,234.7758,148.8125,50.0,100.0,228.85,278.97,220.525,278.32,766120.0,1
66.3647,54.8328,51.4396,14.3566,-4.7413,19.0979,228.5552,-44.0177,60.0,0.0,233.78,236.27,222.4,227.09,356512.0,1
56.6039,41.5331,54.5611,15.872,-4.4112,20.2833,228.7645,-24.7323,70.0,10.0,235.3,241.86,228.5,232.62,394532.0,-1
41.5299,30.1522,57.0811,17.0124,-4.3737,21.3861,228.2137,-42.7428,80.0,20.0,222.19,240.22,222.19,237.09,453691.0,1
26.4655,26.9353,49.6562,17.7652,-4.7143,22.4795,226.9456,-107.4347,90.0,30.0,225.38,230.0,215.11,221.23,421938.0,1
22.4612,30.5953,50.1833,20.0826,-3.5755,23.6581,227.7621,-154.9701,100.0,40.0,220.38,226.1,202.53,222.3,604374.0,1
31.8792,38.9497,50.4958,22.6393,-1.9126,24.5519,228.5424,-102.1084,0.0,50.0,242.29,244.12,215.8,224.52,689169.0,-1
37.4456,46.9957,56.8001,25.5028,0.4727,25.0301,229.3352,2.1564,0.0,60.0,257.51,260.69,234.74,238.34,848766.0,-1
47.5244,60.0589,67.4502,27.3891,2.4773,24.9119,228.2804,36.1928,0.0,70.0,243.31,260.425,231.95,257.76,606841.0,-1
56.017,74.8525,62.7207,27.4345,3.142,24.2926,224.3195,37.0596,10.0,80.0,257.22,269.97,227.31,243.16,622514.0,1
76.6354,86.2613,68.7762,28.5699,5.0628,23.5071,221.8642,59.6726,20.0,90.0,264.76,268.637,232.67,252.99,649602.0,-1
91.9052,89.3355,79.4839,28.6093,6.3679,22.2414,217.6635,129.0475,0.0,100.0,276.48,279.4597,265.805,268.23,420985.0,-1
90.2433,82.7826,84.182,26.7024,6.053,20.6494,210.7003,169.8557,10.0,100.0,252.9,278.3311,252.0,274.3,504621.0,1
85.858,74.5071,80.1254,23.2663,4.1301,19.1361,201.8811,158.0118,0.0,100.0,236.43,252.75,225.445,251.01,628769.0,1
72.2465,64.8407,76.2851,20.8973,2.7937,18.1036,195.1066,188.5336,0.0,100.0,227.34,247.95,225.01,234.67,665920.0,1
65.4168,60.3241,72.2026,19.222,1.8168,17.4052,189.6827,152.37,0.0,100.0,211.05,228.9999,209.85,220.87,487010.0,1
56.8587,60.4677,67.7488,18.1997,1.2487,16.951,185.4419,113.9546,0.0,90.0,207.17,219.78,202.96,208.57,665604.0,1
58.6968,63.436,67.6502,17.874,1.2352,16.6388,182.3405,104.749,0.0,100.0,196.34,226.7688,190.69,208.31,802917.0,1
65.8474,69.4088,62.9575,17.2247,0.8946,16.33,178.833,45.1114,10.0,60.0,198.93,198.986,185.065,196.34,354594.0,1
65.7637,75.2375,63.1711,17.3557,1.2494,16.1063,176.5228,69.5051,20.0,70.0,196.26,203.0,192.33,196.65,438760.0,1
76.6152,85.4609,64.7249,17.2392,1.4452,15.794,173.8385,79.4528,30.0,80.0,186.24,203.2,186.24,200.24,596896.0,1
83.3335,90.0328,58.9753,16.5933,1.1606,15.4327,170.425,81.2053,40.0,90.0,204.09,207.07,183.46,184.72,702946.0,-1
96.434,91.9701,72.7991,17.088,1.9454,15.1425,168.7132,166.2911,50.0,100.0,207.0,208.57,198.44,204.81,670395.0,-1
90.331,79.335,74.0115,15.4508,0.7947,14.6562,163.9227,233.0144,60.0,100.0,180.29,206.37,180.29,206.37,669431.0,1
89.1453,61.9925,64.6789,12.9797,-1.4778,14.4575,158.2279,121.317,70.0,0.0,170.59,180.9934,167.24,178.87,534779.0,1
58.5285,34.7278,60.3707,12.4018,-2.4252,14.827,155.5989,50.5778,80.0,10.0,175.87,179.04,154.89,169.62,857656.0,1
38.3036,21.0829,63.269,12.4138,-3.0195,15.4333,153.8992,8.9463,90.0,20.0,143.18,174.73,141.06,173.48,1240495.0,1
7.3513,16.2078,41.7642,11.8604,-4.3277,16.1881,151.4122,-182.3754,100.0,30.0,148.56,154.3198,139.59,140.49,789139.0,1
17.5938,25.1353,49.769,14.2985,-2.9715,17.2701,153.2238,-195.9287,100.0,40.0,156.0,157.71,145.98,150.56,785575.0,-1
23.6783,33.7937,54.8731,16.19,-1.823,18.0129,153.8735,-114.6801,100.0,50.0,166.0,167.11,155.1,155.99,680212.0,-1
34.1338,45.2402,64.784,17.8228,-0.6459,18.4687,153.8501,-31.1833,50.0,60.0,165.0,169.38,159.4447,164.99,790072.0,-1
43.5689,51.0599,64.5019,18.7427,0.1125,18.6302,152.5538,-38.3794,60.0,70.0,166.25,167.54,160.91,164.55,984621.0,-1
58.0178,50.4753,64.8739,19.6884,1.0863,18.602,151.1343,20.7775,0.0,80.0,169.82,175.63,160.575,164.9,652874.0,-1
51.593,39.5182,73.0888,20.5739,2.2435,18.3305,149.4627,159.2933,10.0,90.0,179.85,181.1,171.16,173.61,712220.0,-1
41.8152,34.0138,78.0073,20.643,2.8734,17.7696,146.4832,159.7354,0.0,100.0,158.16,184.29,156.7932,177.83,779414.0,1
25.1464,33.3332,70.6928,20.0094,2.9582,17.0512,142.4867,23.5984,0.0,60.0,167.79,171.845,156.145,160.44,1594025.0,1
35.0799,45.4221,79.2605,20.6467,4.335,16.3117,140.3565,56.6868,0.0,70.0,166.73,169.5059,160.1025,166.72,882761.0,-1
39.7734,58.5239,78.7057,20.5325,5.3045,15.228,137.0418,53.2981,0.0,80.0,163.22,166.34,158.54,165.22,1662378.0,1
61.413,75.3863,77.8895,20.2379,6.3361,13.9018,133.4638,63.766,10.0,90.0,164.37,168.82,161.02,162.92,1047615.0,1
74.3854,84.9661,78.478,19.7973,7.4794,12.3178,129.6969,87.2712,0.0,100.0,168.0,183.54,159.2,163.42,1813224.0,-1
90.3606,91.2014,82.6485,18.897,8.449,10.4479,125.3219,95.0412,0.0,90.0,163.45,168.74,162.79,167.13,1147989.0,1
90.1524,92.2535,81.4504,17.1024,8.7667,8.3357,119.802,111.7358,0.0,100.0,159.51,170.42,158.43,162.12,1546727.0,1
93.0911,93.1797,80.847,15.0635,8.9195,6.144,114.1956,119.5176,0.0,100.0,152.85,162.75,145.72,159.58,1173609.0,1
93.517,90.6361,79.2364,12.4959,8.5817,3.9141,108.1443,153.3929,0.0,100.0,152.98,157.98,147.63,152.85,2323597.0,1
92.9309,88.2683,78.4084,9.709,7.9403,1.7687,102.1717,168.2024,0.0,100.0,132.3,153.13,129.5,149.44,1236249.0,1
85.4603,87.1005,73.0434,6.3514,6.5678,-0.2164,95.8238,138.6888,10.0,100.0,119.5,133.18,118.2,131.61,1116333.0,1
86.4136,88.8442,68.242,3.8624,5.7207,-1.8583,91.2192,113.3701,0.0,100.0,104.93,122.12,103.49,118.72,1172529.0,1
89.4275,87.5296,63.2301,1.9063,5.1948,-3.2885,87.7486,101.411,0.0,100.0,114.57,117.25,99.59,107.76,1293360.0,1
90.6916,85.0292,68.2446,0.4676,5.0548,-4.5872,85.3056,126.4383,0.0,100.0,103.0,113.91,101.92,113.43,1213031.0,1
82.4696,81.6803,63.0922,-1.9371,3.9138,-5.8509,81.7254,116.4976,0.0,100.0,94.6,102.8,93.89,102.34,1039736.0,1
81.9264,81.3274,56.9603,-3.8796,2.9497,-6.8293,79.1753,116.7838,10.0,90.0,94.51,97.1,89.5,91.52,1054488.0,1
80.6448,77.3258,56.8708,-5.2306,2.3362,-7.5668,77.7648,166.3354,20.0,100.0,95.36,101.18,84.75,91.37,1703914.0,-1
81.4109,74.2692,60.0518,-6.864,1.2868,-8.1508,76.1738,179.9548,30.0,100.0,72.26,96.75,71.66,95.62,2044442.0,1
69.9216,65.2312,45.6952,-9.27,-0.7975,-8.4725,73.7646,58.8505,40.0,0.0,69.5,80.97,69.5,73.3,1188027.0,1
71.4751,56.709,42.1937,-9.9949,-1.7218,-8.2731,74.1138,-22.2859,50.0,0.0,64.0,70.14,63.16,69.12,1018324.0,1
54.2969,40.4224,38.4693,-10.3607,-2.518,-7.8427,75.0939,-32.3173,60.0,10.0,68.0,74.7,63.74,64.76,1447002.0,1
44.355,28.6851,40.6536,-10.2449,-3.0318,-7.2131,76.82,-49.2819,70.0,20.0,59.6,70.26,59.22,68.8,955933.0,1
22.6153,17.5225,30.4377,-10.3483,-3.8931,-6.4552,78.2311,-90.8281,80.0,0.0,64.74,65.2,54.75,57.19,1297814.0,1
19.085,13.3638,33.4603,-9.1796,-3.6977,-5.4819,81.4576,-102.7742,90.0,10.0,54.57,71.51,51.86,65.09,1751790.0,1
10.8672,9.0472,23.1518,-8.2251,-3.6676,-4.5575,84.2041,-159.214,100.0,20.0,64.0,66.42,49.03,54.75,2506594.0,1
10.1392,10.2784,28.4262,-5.8805,-2.2399,-3.6406,88.7553,-172.0288,100.0,30.0,75.2,76.86,61.99,68.51,1750292.0,-1
6.1351,13.1615,33.9687,-4.1419,-1.0613,-3.0806,92.0772,-171.8446,100.0,40.0,83.41,85.77,77.02,79.46,1450028.0,-1
14.561,17.6169,36.0791,-2.9286,-0.1133,-2.8153,94.378,-182.1963,100.0,50.0,92.81,98.15,81.0,83.11,3031697.0,-1
18.7884,16.1787,44.9393,-1.6926,1.0944,-2.787,96.509,-89.9131,0.0,60.0,103.48,105.17,95.4,95.98,986586.0,-1
19.5012,21.2084,51.7873,-1.3434,1.7172,-3.0606,97.1866,-8.7439,0.0,70.0,100.02,107.36,100.01,103.68,791663.0,-1
10.2465,35.1565,48.9793,-1.6276,1.8623,-3.4899,96.9093,-18.5508,0.0,80.0,97.59,104.85,97.2,100.59,1140571.0,1
