SlowK,SlowD,RSI,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
29.807,19.4788,42.3106,110.0026,-39.2664,90.0,0.0,103.85,105.506,101.44,102.88,593319.0,1
15.5609,20.1239,41.2572,111.0201,-119.0318,100.0,10.0,92.09,102.98,91.93,101.71,3601752.0,1
13.0686,33.1794,32.1898,112.3501,-241.9284,100.0,0.0,101.65,101.65,92.045,92.19,1468548.0,-1
31.7421,49.7922,37.3832,115.2302,-156.661,40.0,0.0,108.24,109.1888,100.95,101.71,2103610.0,-1
54.7275,58.1734,40.8948,117.1616,-32.2652,50.0,10.0,110.6,115.25,107.21,107.34,1989536.0,-1
62.9069,53.7213,43.1908,118.5647,-63.1257,60.0,0.0,112.42,112.42,102.29,110.88,2437199.0,-1
56.8858,40.7797,45.5646,119.6625,-30.9674,70.0,0.0,111.96,119.54,100.925,114.53,3134666.0,-1
41.3713,28.2874,43.3457,120.3957,-35.1668,80.0,0.0,110.63,116.84,109.56,111.64,1620920.0,1
24.0821,19.4016,42.0435,121.6466,-75.0293,90.0,0.0,106.67,111.91,102.115,109.87,1576633.0,1
19.409,19.2965,41.2539,123.3289,-93.2906,100.0,10.0,103.76,111.675,99.61,108.72,1851618.0,1
14.7136,20.844,37.7776,125.4159,-95.4205,100.0,20.0,114.82,120.0,101.15,103.48,2046098.0,-1
23.767,23.9168,41.9188,128.5496,-103.6065,90.0,30.0,108.25,116.69,104.66,113.2,2047377.0,-1
24.0514,22.9705,39.1001,130.7424,-132.3782,100.0,40.0,125.36,126.27,102.9001,108.64,2271097.0,-1
23.932,23.5628,46.2239,133.8999,-100.9538,80.0,50.0,125.64,133.82,117.18,124.73,2498006.0,-1
20.9281,27.8135,47.2939,135.2099,-152.3626,90.0,0.0,118.6,128.12,113.53,126.95,1852693.0,1
25.8282,41.0605,42.7545,136.3899,-184.1287,100.0,0.0,142.64,145.0,110.66,118.5,2343497.0,-1
36.6842,50.2649,54.2124,138.9456,-58.6025,60.0,10.0,146.27,148.66,134.53,141.54,1884399.0,-1
60.669,53.006,58.2361,138.575,-32.4532,0.0,20.0,150.34,151.69,139.28,148.14,1974316.0,-1
53.4415,38.373,59.513,137.2085,52.3264,0.0,30.0,164.41,175.0,145.8,150.26,2195418.0,-1
44.9075,29.0682,66.9687,135.344,54.2254,0.0,40.0,140.36,163.13,139.58,162.22,1733726.0,1
16.77,24.4907,57.5014,131.5046,-23.8952,0.0,50.0,140.79,148.49,130.2192,138.59,1862744.0,1
25.5271,37.8392,58.7062,130.4924,-14.1115,10.0,60.0,140.6,141.935,131.19,140.47,1791838.0,-1
