SlowD,SlowK,RSI,MACD_Signal,MACD_Hist,MACD,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
76.3793,83.829,71.1539,0.3331,0.0841,0.4172,2.6788,179.1658,50.0,100.0,4.36,4.58,3.9,3.96,144949157.0,1
65.8966,79.0461,72.1332,0.3121,0.0181,0.3302,2.4957,232.4242,60.0,100.0,3.08,4.2,2.73,4.01,443164214.0,1
52.2463,66.2628,61.6946,0.3075,-0.0982,0.2094,2.2794,143.8521,70.0,0.0,2.05,3.2,2.015,2.91,294409719.0,1
40.9139,52.381,48.2005,0.3321,-0.1681,0.164,2.1893,-38.4211,80.0,0.0,2.0,2.17,1.86,2.06,61135903.0,1
31.889,38.0952,47.0146,0.3741,-0.1837,0.1904,2.2078,-47.1888,90.0,10.0,1.92,2.24,1.86,2.0,56244120.0,1
26.1582,32.2655,45.518,0.42,-0.1928,0.2273,2.2375,-90.8154,100.0,0.0,1.88,1.95,1.62,1.92,70798225.0,1
18.6863,25.3063,44.9936,0.4682,-0.189,0.2793,2.2828,-91.9428,80.0,0.0,2.15,2.15,1.83,1.89,46777963.0,-1
15.4283,20.903,48.1943,0.5155,-0.1709,0.3446,2.339,-81.8511,90.0,0.0,2.05,2.32,1.97,2.12,78837638.0,-1
16.1974,9.8496,46.404,0.5582,-0.1587,0.3995,2.3702,-109.0837,100.0,10.0,1.82,2.17,1.695,2.0,114429828.0,1
24.4364,15.5322,44.8311,0.5979,-0.1218,0.4761,2.4231,-118.627,100.0,20.0,2.36,2.37,1.78,1.89,131791740.0,-1
30.6178,23.2104,50.262,0.6283,-0.0502,0.5781,2.4993,-90.5866,50.0,30.0,2.6,2.67,2.3,2.34,81395005.0,-1
32.6867,34.5666,53.365,0.6409,0.0131,0.654,2.5221,-73.0258,0.0,40.0,2.67,2.85,2.41,2.58,74575777.0,-1
30.6425,34.0763,55.5513,0.6376,0.0794,0.717,2.5138,-47.6761,0.0,50.0,3.28,3.29,2.41,2.75,89072853.0,-1
33.4848,29.4171,62.7668,0.6177,0.1518,0.7696,2.48,4.6774,10.0,60.0,3.2,3.4,2.7,3.28,163209191.0,-1
46.6304,28.4342,61.841,0.5798,0.1918,0.7716,2.3657,10.6609,0.0,70.0,2.64,3.4,2.41,3.17,250218822.0,1
64.2031,42.603,55.6096,0.5318,0.2423,0.7742,2.2508,4.5046,0.0,80.0,3.61,3.78,1.9,2.48,252156817.0,-1
74.1016,68.8541,69.5311,0.4712,0.3652,0.8364,2.2181,68.7299,10.0,90.0,4.64,4.75,2.75,3.42,243908526.0,-1
70.8077,81.1522,97.9348,0.38,0.4281,0.808,2.0464,146.0594,0.0,100.0,4.67,5.56,4.3,4.63,240128955.0,-1
63.4553,72.2986,97.5908,0.2729,0.3638,0.6368,1.6773,144.2553,0.0,100.0,3.53,4.35,3.36,4.16,338442736.0,1
59.8784,58.9724,96.2327,0.182,0.2749,0.4568,1.3227,124.0212,0.0,80.0,2.55,3.27,2.38,3.03,233946678.0,1
61.6925,59.095,94.6463,0.1133,0.2223,0.3356,1.0788,149.6307,10.0,90.0,2.93,3.17,2.28,2.37,306629570.0,1
63.0531,61.5678,94.4552,0.0577,0.1854,0.2431,0.8943,233.3016,20.0,100.0,1.6,3.9,1.48,2.31,837001220.0,1
63.5145,64.4146,90.8994,0.0113,0.1163,0.1277,0.6921,178.8623,30.0,100.0,0.88,2.04,0.8312,1.58,273649454.0,1
63.151,63.1768,79.1216,-0.0178,0.0705,0.0528,0.5652,135.5223,40.0,100.0,0.84,1.21,0.84,0.8665,63663424.0,1
63.6997,62.9519,79.8121,-0.0354,0.0645,0.0291,0.5222,181.4395,50.0,90.0,0.9,1.0,0.8,0.8718,42061125.0,-1
59.8581,63.3242,84.6018,-0.0515,0.0494,-0.0021,0.4722,333.3333,60.0,100.0,0.433,1.17,0.3961,0.91,203555203.0,1
50.3221,64.8232,48.2058,-0.0639,0.0181,-0.0458,0.4097,92.0228,70.0,80.0,0.4233,0.4322,0.41,0.413,8240702.0,1
35.8396,51.427,49.8267,-0.0684,0.0181,-0.0503,0.4092,119.532,80.0,90.0,0.4489,0.455,0.3909,0.4206,15769582.0,-1
32.0211,34.7161,51.7641,-0.0729,0.0169,-0.056,0.4076,124.4587,90.0,100.0,0.3711,0.46,0.3605,0.43,17319065.0,1
