SlowK,SlowD,RSI,MACD,MACD_Hist,MACD_Signal,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
65.9933,38.7812,51.4537,-0.0139,-0.0059,-0.0081,0.184,56.4906,80.0,10.0,0.209,0.209,0.195,0.198,5577.0,1
41.8418,18.6185,50.2084,-0.017,-0.0104,-0.0066,0.182,-20.2857,90.0,20.0,0.1201,0.189,0.1201,0.189,7430.0,1
8.5085,7.0146,39.5003,-0.0197,-0.0157,-0.004,0.181,-127.4787,100.0,0.0,0.1123,0.13,0.11,0.12,15559.0,1
5.5053,12.3026,40.6403,-0.0159,-0.0158,-0.0001,0.1897,-107.2769,90.0,10.0,0.155,0.189,0.1257,0.13,24061.0,-1
7.0302,20.4763,37.7797,-0.0117,-0.0156,0.0039,0.1982,-173.8294,100.0,20.0,0.1552,0.179,0.1123,0.1123,19855.0,1
24.3723,29.13,42.2177,-0.0045,-0.0123,0.0078,0.2105,-137.0524,10.0,30.0,0.18,0.18,0.1551,0.1552,33997.0,-1
30.0264,28.1141,45.2629,0.0004,-0.0105,0.0109,0.2184,-65.6981,20.0,0.0,0.22,0.22,0.1825,0.1825,5820.0,-1
32.9913,29.8479,49.6943,0.0039,-0.0096,0.0135,0.2235,-54.6873,30.0,0.0,0.1725,0.22,0.1725,0.22,29845.0,1
21.3246,32.3351,45.5005,0.0045,-0.0114,0.0159,0.224,-74.6108,40.0,0.0,0.24,0.24,0.17,0.1872,26502.0,-1
35.2278,39.8914,48.0023,0.0085,-0.0103,0.0188,0.2293,-42.2753,50.0,0.0,0.218,0.278,0.1925,0.21,46070.0,-1
40.453,38.6202,41.7988,0.0112,-0.0102,0.0213,0.232,-86.72,0.0,10.0,0.248,0.248,0.1571,0.161,21919.0,1
43.9934,31.1241,51.6445,0.0194,-0.0045,0.0239,0.2422,-44.9459,10.0,20.0,0.278,0.278,0.201,0.248,15396.0,-1
31.4143,22.294,50.8663,0.0208,-0.0042,0.025,0.2413,-40.1767,20.0,30.0,0.22,0.334,0.171,0.2415,79605.0,1
17.9647,18.7262,48.3939,0.0229,-0.0031,0.026,0.2413,-79.4236,0.0,40.0,0.2339,0.27,0.1625,0.22,9650.0,1
17.503,22.2404,46.1241,0.0275,0.0007,0.0268,0.2443,-114.5199,10.0,50.0,0.21,0.234,0.1255,0.2,115478.0,1
20.711,26.9905,49.4518,0.035,0.0084,0.0266,0.2507,-50.5171,20.0,60.0,0.255,0.32,0.2,0.234,43667.0,-1
28.5073,31.7585,56.8948,0.0405,0.016,0.0245,0.2531,14.5785,30.0,70.0,0.25,0.38,0.25,0.3025,88981.0,-1
31.7531,33.821,60.8025,0.0401,0.0196,0.0205,0.246,60.4809,0.0,80.0,0.4673,0.4673,0.255,0.335,102035.0,-1
35.015,34.3478,59.6513,0.0356,0.02,0.0156,0.2333,62.7631,10.0,90.0,0.3789,0.48,0.2,0.32,259677.0,1
34.695,31.6533,65.4145,0.0309,0.0202,0.0106,0.2209,259.8466,20.0,100.0,0.484,0.85,0.27,0.37,632660.0,-1
33.3333,32.5578,59.8252,0.0194,0.0138,0.0056,0.1996,21.7913,30.0,80.0,0.275,0.33,0.1075,0.29,63522.0,1
26.9315,34.7606,54.9061,0.0125,0.0103,0.0021,0.1867,49.7295,40.0,90.0,0.25,0.3,0.23,0.23,39942.0,1
37.4087,42.8185,56.9999,0.0096,0.0101,-0.0004,0.1805,192.5675,50.0,100.0,0.485,0.57,0.15,0.25,143022.0,-1
39.9416,41.1561,48.0925,0.0038,0.0068,-0.003,0.1706,64.8977,60.0,100.0,0.1309,0.447,0.1,0.15,9564.0,1
51.1053,36.796,53.0363,0.0066,0.0112,-0.0047,0.1735,11.1181,70.0,50.0,0.2,0.2,0.2,0.2,6500.0,-1
32.4215,29.1074,53.0363,0.0048,0.0123,-0.0075,0.1697,50.9504,80.0,60.0,0.25,0.25,0.2,0.2,4520.0,-1
26.8612,33.271,57.8536,0.0026,0.0131,-0.0105,0.1654,102.3047,0.0,70.0,0.24,0.25,0.215,0.25,74988.0,-1
28.0394,46.463,41.6304,-0.0054,0.0084,-0.0138,0.1533,-52.7189,10.0,80.0,0.07,0.25,0.07,0.08,62068.0,1
44.9124,59.9744,52.2853,0.0017,0.0177,-0.0159,0.1638,77.3363,20.0,90.0,0.18,0.29,0.17,0.18,23291.0,-1
66.4372,66.6665,67.9337,0.0007,0.021,-0.0204,0.1615,166.2664,30.0,100.0,0.178,0.399,0.1152,0.28,70497.0,-1
68.5735,60.272,55.7861,-0.0109,0.0147,-0.0256,0.1445,109.5411,40.0,60.0,0.218,0.218,0.178,0.178,500.0,1
64.9886,50.5261,64.3962,-0.0151,0.0142,-0.0293,0.1397,115.4024,50.0,70.0,0.17,0.22,0.12,0.218,29675.0,1
47.2539,38.0762,57.2743,-0.0243,0.0085,-0.0328,0.1286,108.371,60.0,80.0,0.18,0.18,0.17,0.17,2012.0,1
39.3357,27.7376,49.7331,-0.0308,0.0042,-0.035,0.1226,27.3881,0.0,90.0,0.114,0.145,0.114,0.13,14350.0,1
27.6391,15.4939,46.3224,-0.0346,0.0014,-0.036,0.1216,87.8641,10.0,100.0,0.112,0.235,0.112,0.114,850.0,1
16.2379,15.5401,45.9095,-0.0374,-0.001,-0.0364,0.1227,60.8051,20.0,100.0,0.1,0.2,0.1,0.112,28525.0,1
2.6046,29.5719,34.0364,-0.0401,-0.004,-0.0361,0.1242,-103.6509,30.0,50.0,0.0511,0.1,0.0511,0.06,11990.0,1
27.7778,58.3333,34.4288,-0.0377,-0.0026,-0.0351,0.1334,-152.7012,40.0,60.0,0.065,0.065,0.063,0.063,20000.0,-1
58.3333,75.0,34.6687,-0.0344,0.0001,-0.0345,0.1434,-126.3736,50.0,70.0,0.15,0.15,0.065,0.065,225.0,-1
88.8889,76.8519,47.26,-0.0299,0.0046,-0.0345,0.1546,-15.8888,60.0,0.0,0.16,0.165,0.066,0.15,1525.0,-1
77.7778,60.2381,49.1501,-0.0323,0.0033,-0.0357,0.1553,107.9038,70.0,0.0,0.16,0.16,0.16,0.16,25.0,-1
63.8889,42.6614,49.1501,-0.036,0.0005,-0.0365,0.1546,41.6315,80.0,0.0,0.1,0.17,0.1,0.16,2151.0,1
39.0476,27.4656,36.8819,-0.0402,-0.0036,-0.0366,0.1539,-109.2676,90.0,10.0,0.1,0.1,0.1,0.1,0.0,1
25.0476,19.0899,36.8819,-0.0389,-0.0032,-0.0357,0.1615,-115.8496,100.0,20.0,0.131,0.145,0.05,0.1,57579.0,-1
18.3016,14.4921,41.0241,-0.0366,-0.0017,-0.0349,0.1703,-70.3185,70.0,0.0,0.131,0.131,0.131,0.131,1000.0,-1
13.9206,11.6138,41.0241,-0.0363,-0.0018,-0.0345,0.176,-80.01,80.0,10.0,0.13,0.131,0.13,0.131,7774.0,1
11.254,9.7513,43.4465,-0.0355,-0.0014,-0.0341,0.1824,-71.4463,90.0,0.0,0.13,0.15,0.13,0.15,100.0,-1
9.6667,16.8586,40.0954,-0.0357,-0.002,-0.0337,0.187,-109.2749,100.0,10.0,0.13,0.13,0.125,0.13,76.0,1
8.3333,30.0505,40.0954,-0.0335,-0.0004,-0.0332,0.1952,-121.8867,100.0,20.0,0.16,0.16,0.13,0.13,200.0,-1
32.5758,46.4646,43.206,-0.0303,0.0028,-0.0331,0.2045,-111.6822,100.0,30.0,0.13,0.2,0.13,0.16,12380.0,1
49.2424,48.7374,38.9429,-0.0287,0.0051,-0.0338,0.2108,-177.8554,100.0,40.0,0.209,0.209,0.13,0.13,700.0,-1
57.5758,39.1414,51.7656,-0.0232,0.0119,-0.0351,0.2224,83.5522,10.0,50.0,0.245,0.25,0.24,0.24,2520.0,-1
39.3939,34.2463,53.1988,-0.027,0.011,-0.0381,0.2198,54.5396,20.0,60.0,0.19,0.25,0.19,0.25,1025.0,1
20.4545,41.7249,44.9718,-0.0326,0.0082,-0.0408,0.2155,-103.939,30.0,70.0,0.19,0.19,0.16,0.19,8299.0,1
42.8904,57.3529,44.9718,-0.0331,0.0098,-0.0429,0.2192,21.0746,40.0,80.0,0.19,0.27,0.19,0.19,11508.0,1
61.8298,63.9225,44.9718,-0.0332,0.0121,-0.0453,0.2233,31.3624,50.0,90.0,0.27,0.27,0.19,0.19,3045.0,-1
67.3383,65.8457,54.2393,-0.033,0.0154,-0.0484,0.2281,161.2195,0.0,0.0,0.28,0.28,0.22,0.27,33071.0,-1
62.5994,73.1875,50.8187,-0.0403,0.0119,-0.0522,0.2221,124.721,10.0,0.0,0.21,0.27,0.17,0.24,21670.0,1
67.5994,80.3592,44.608,-0.0459,0.0093,-0.0552,0.2196,8.6844,20.0,0.0,0.19,0.24,0.17,0.19,20175.0,1
89.3637,80.6595,50.328,-0.0474,0.0101,-0.0575,0.2238,91.4514,30.0,10.0,0.21,0.2652,0.2,0.24,23477.0,-1
84.1144,67.6761,44.5708,-0.0537,0.0063,-0.06,0.2215,-45.1864,40.0,20.0,0.2,0.2,0.15,0.195,34114.0,1
68.5004,53.8662,45.0935,-0.0564,0.0052,-0.0616,0.2253,3.3793,50.0,30.0,0.2,0.2,0.2,0.2,24.0,-1
50.4134,45.1821,45.0935,-0.0595,0.0034,-0.0629,0.2289,-26.0519,60.0,40.0,0.18,0.2,0.18,0.2,7200.0,1
42.6849,44.8732,42.9251,-0.0626,0.0012,-0.0638,0.233,-69.4881,70.0,50.0,0.19,0.2,0.15,0.18,14325.0,1
42.4482,43.0166,43.7017,-0.0636,0.0004,-0.064,0.2406,-83.548,80.0,60.0,0.15,0.1901,0.15,0.19,20425.0,1
49.4866,40.4818,41.8064,-0.065,-0.0008,-0.0642,0.2478,-122.5119,90.0,70.0,0.18,0.18,0.15,0.17,49135.0,-1
37.115,28.1727,42.4495,-0.0638,0.0002,-0.0639,0.2589,-146.7074,100.0,0.0,0.29,0.29,0.051,0.18,107675.0,-1
34.8439,25.123,50.0752,-0.0623,0.0017,-0.064,0.2702,18.9647,70.0,10.0,0.16,0.3499,0.16,0.29,5350.0,1
12.5593,20.1491,38.6284,-0.0707,-0.0063,-0.0644,0.2674,-67.2091,80.0,20.0,0.22,0.3549,0.1601,0.1631,37188.0,1
27.9658,22.642,42.5669,-0.0675,-0.0046,-0.0629,0.2823,-114.6981,90.0,30.0,0.16,0.25,0.16,0.22,9220.0,1
19.9223,16.704,36.3119,-0.0682,-0.0065,-0.0617,0.2912,-181.9708,100.0,40.0,0.27,0.28,0.1591,0.1591,10670.0,-1
20.0378,14.0207,44.2016,-0.0619,-0.0019,-0.0601,0.31,-87.7223,100.0,0.0,0.28,0.28,0.2075,0.27,28314.0,-1
10.1518,13.5753,42.1619,-0.0643,-0.0047,-0.0596,0.3157,-50.8456,90.0,10.0,0.25,0.33,0.25,0.25,14280.0,1
11.8725,19.0589,39.2646,-0.0644,-0.0059,-0.0584,0.3251,-112.0935,100.0,20.0,0.27,0.29,0.2201,0.221,35110.0,1
18.7016,23.4504,42.5023,-0.0605,-0.0036,-0.0569,0.34,-83.1442,100.0,30.0,0.23,0.337,0.222,0.27,19390.0,-1
26.6026,24.584,43.1559,-0.0598,-0.0037,-0.056,0.35,-100.6369,80.0,40.0,0.2928,0.2928,0.2492,0.28,24404.0,-1
25.047,18.3882,43.7616,-0.059,-0.0039,-0.0551,0.36,32.0301,90.0,50.0,0.48,0.48,0.2854,0.29,28788.0,-1
22.1026,22.4887,47.3502,-0.0581,-0.0039,-0.0541,0.37,-43.0085,100.0,60.0,0.28,0.35,0.24,0.35,54287.0,1
8.0152,31.7036,42.3897,-0.0622,-0.0091,-0.0532,0.3729,-73.0681,90.0,70.0,0.28,0.35,0.276,0.28,16120.0,1
37.3485,46.3369,42.3897,-0.0595,-0.0086,-0.0509,0.3862,-151.7704,100.0,0.0,0.25,0.28,0.25,0.28,21376.0,1
49.747,43.6432,42.399,-0.0551,-0.0063,-0.0488,0.4013,-88.9006,100.0,0.0,0.31,0.4,0.2801,0.2802,32724.0,-1
51.9151,31.7887,54.0605,-0.0487,-0.0015,-0.0472,0.4186,131.5221,60.0,0.0,0.35,0.5,0.35,0.5,3501.0,-1
29.2675,21.3787,44.7225,-0.0623,-0.0155,-0.0468,0.407,-42.2031,70.0,0.0,0.3,0.41,0.3,0.35,40050.0,1
14.1834,16.8685,41.2548,-0.0634,-0.0204,-0.0429,0.4151,-100.1422,80.0,0.0,0.35,0.35,0.3016,0.3016,4900.0,-1
20.6851,17.7825,43.8426,-0.0589,-0.0211,-0.0378,0.4314,-67.1626,90.0,10.0,0.34,0.41,0.3105,0.3522,24310.0,-1
15.7369,15.3093,40.4051,-0.0576,-0.025,-0.0325,0.4427,-105.3783,100.0,20.0,0.36,0.36,0.2919,0.3005,20760.0,1
16.9255,14.9555,43.1403,-0.0497,-0.0234,-0.0263,0.463,-94.8355,100.0,30.0,0.41,0.41,0.3001,0.36,19215.0,-1
13.2653,15.8404,43.1403,-0.045,-0.0246,-0.0204,0.4777,-99.3483,100.0,40.0,0.39,0.44,0.3101,0.36,12604.0,1
14.6756,22.1805,42.6168,-0.0384,-0.0241,-0.0143,0.4945,-83.8819,80.0,50.0,0.45,0.48,0.3478,0.3501,26789.0,-1
19.5801,30.1833,44.4744,-0.0283,-0.0201,-0.0082,0.5151,-73.8937,0.0,60.0,0.35,0.51,0.35,0.4,20697.0,1
32.2858,42.8292,45.5487,-0.0202,-0.017,-0.0032,0.5316,-65.5109,10.0,70.0,0.45,0.53,0.329,0.43,25383.0,-1
38.684,55.8252,46.2185,-0.0126,-0.0136,0.001,0.5461,-30.7511,20.0,80.0,0.555,0.6,0.35,0.45,8362.0,-1
57.5177,67.746,50.569,-0.0047,-0.0091,0.0044,0.5598,28.1077,30.0,90.0,0.516,0.61,0.367,0.58,18692.0,-1
71.2738,69.3672,48.5925,-0.0078,-0.0145,0.0067,0.5569,121.3755,40.0,100.0,0.75,0.8,0.5131,0.521,17525.0,-1
74.4463,65.3158,54.5481,-0.0056,-0.016,0.0104,0.5621,212.5486,50.0,100.0,0.455,0.8,0.41,0.7,32641.0,1
62.3814,61.7667,51.5633,-0.021,-0.0353,0.0143,0.5424,145.4817,60.0,0.0,0.44,0.62,0.44,0.6,9950.0,1
59.1196,64.1806,45.7969,-0.0301,-0.0533,0.0232,0.5341,-31.0184,70.0,0.0,0.3735,0.58,0.33,0.42,59101.0,1
63.7991,58.2734,44.1341,-0.0231,-0.0596,0.0365,0.5504,-78.5865,80.0,0.0,0.48,0.48,0.3321,0.37,16603.0,-1
69.6229,47.45,46.9881,-0.0086,-0.06,0.0514,0.5762,-33.2628,90.0,10.0,0.475,0.48,0.475,0.48,5200.0,-1
41.3981,28.615,47.7459,-0.0012,-0.0676,0.0664,0.59,-71.7054,100.0,0.0,0.259,0.51,0.259,0.51,701.0,1
31.3289,20.3728,47.7459,0.0052,-0.078,0.0833,0.6014,-75.7797,100.0,0.0,0.3,0.52,0.3,0.51,555.0,-1
13.1178,13.9329,42.4864,0.0133,-0.0894,0.1028,0.6144,-118.5575,100.0,0.0,0.52,0.52,0.3,0.3,11915.0,-1
16.6715,17.5862,46.9412,0.0449,-0.0803,0.1251,0.6594,-97.4202,100.0,0.0,0.41,0.52,0.3501,0.52,3700.0,-1
12.0092,23.5489,43.8078,0.0621,-0.0831,0.1452,0.6793,-106.4444,100.0,10.0,0.65,0.65,0.36,0.39,8338.0,-1
24.078,29.0156,45.8707,0.0964,-0.0696,0.166,0.7206,-91.9358,70.0,0.0,0.55,0.65,0.5,0.5,12900.0,-1
34.5594,25.8401,46.7718,0.1275,-0.0559,0.1834,0.7521,-78.304,80.0,0.0,0.56,0.828,0.55,0.55,20585.0,-1
28.4092,16.4938,51.708,0.1603,-0.037,0.1974,0.781,-72.2929,0.0,10.0,0.85,0.85,0.56,0.82,14936.0,-1
14.5515,11.176,52.2595,0.1724,-0.0342,0.2066,0.7754,-71.4851,0.0,20.0,0.55,0.919,0.45,0.85,28710.0,1
6.5206,11.9236,45.7496,0.1823,-0.0329,0.2152,0.7648,-79.4617,10.0,30.0,0.6,0.85,0.451,0.475,29922.0,1
12.4558,16.4972,48.5289,0.2304,0.0069,0.2234,0.8062,-43.5922,0.0,40.0,0.95,0.95,0.65,0.65,28364.0,-1
16.7944,22.4636,53.5479,0.2706,0.0489,0.2217,0.8285,7.976,10.0,50.0,1.2,1.34,0.88,0.95,12023.0,-1
20.2415,32.7766,58.0508,0.2874,0.078,0.2095,0.8111,27.0502,20.0,60.0,0.85,1.4,0.85,1.2,21486.0,1
30.3549,49.9013,50.7445,0.2793,0.0893,0.19,0.7556,32.7449,30.0,70.0,1.09,2.0,0.66,0.71,142442.0,1
47.7334,69.2443,57.978,0.3148,0.1471,0.1676,0.7621,48.0852,40.0,80.0,1.58,1.635,0.79,1.1,47985.0,-1
71.6155,76.6665,75.3223,0.3157,0.1849,0.1309,0.7138,147.7722,0.0,90.0,2.0,2.27,1.56,1.8,53387.0,-1
88.3838,70.145,93.2568,0.2411,0.1565,0.0846,0.5586,300.395,0.0,100.0,0.9,3.45,0.7,2.3,158802.0,1
70.0,49.1718,83.1411,0.0914,0.0459,0.0455,0.3098,237.9089,0.0,20.0,0.3,0.9,0.3,0.9,54044.0,1
52.0513,35.453,59.991,0.0416,0.0076,0.034,0.2255,-10.8159,0.0,30.0,0.18,0.3,0.17,0.3,15000.0,1
25.464,25.1772,46.8552,0.0385,0.0063,0.0322,0.2149,-31.6988,10.0,40.0,0.298,0.298,0.17,0.18,4670.0,1
28.8436,24.3334,66.5074,0.0462,0.0156,0.0306,0.2199,-0.8326,20.0,50.0,0.29,0.3,0.15,0.3,18465.0,-1
21.2241,23.2266,65.4196,0.0431,0.0165,0.0267,0.2084,0.5586,0.0,60.0,0.27,0.2925,0.1575,0.29,5705.0,1
22.9323,28.5567,63.2724,0.0396,0.0171,0.0226,0.1968,29.5558,10.0,70.0,0.285,0.285,0.27,0.27,7828.0,1
25.5234,37.052,66.0403,0.0366,0.0183,0.0183,0.1863,87.436,20.0,80.0,0.29,0.45,0.285,0.285,29396.0,-1
37.2143,45.8557,65.6618,0.0306,0.0169,0.0137,0.1722,102.1983,30.0,90.0,0.475,0.475,0.2,0.2808,65710.0,-1
48.4182,55.3883,69.5138,0.0231,0.0136,0.0095,0.1567,256.6559,40.0,100.0,0.19,0.96,0.12,0.304,215098.0,1
51.9347,65.7446,58.7701,0.0107,0.0046,0.0061,0.1357,101.0009,50.0,100.0,0.13,0.289,0.096,0.1895,104912.0,1
65.812,81.7664,48.9401,0.0064,0.0014,0.0049,0.128,-8.8484,60.0,90.0,0.08,0.15,0.08,0.12,86495.0,1
79.4872,93.1624,41.7458,0.0079,0.0033,0.0046,0.1291,-14.5849,70.0,100.0,0.2,0.2,0.05,0.08,3000.0,-1
100.0,98.8889,67.3783,0.0137,0.01,0.0038,0.1362,150.8075,80.0,100.0,0.2,0.2,0.2,0.2,0.0,-1
100.0,95.5556,67.3783,0.0088,0.0075,0.0013,0.127,195.2503,90.0,100.0,0.2,0.2,0.2,0.2,0.0,1
96.6667,84.4444,66.688,0.0024,0.003,-0.0006,0.1166,77.5151,100.0,100.0,0.1,0.195,0.005,0.195,41850.0,1
90.0,70.0,47.7981,-0.0053,-0.004,-0.0014,0.1054,-9.892,90.0,30.0,0.1,0.1,0.1,0.1,0.0,1
66.6667,54.4444,46.3572,-0.0054,-0.0051,-0.0004,0.1062,-61.2337,100.0,40.0,0.1,0.1,0.05,0.095,3265.0,1
53.3333,43.3333,44.9907,-0.005,-0.0059,0.0009,0.1078,-59.9247,70.0,50.0,0.08,0.09,0.08,0.09,16570.0,1
43.3333,42.2222,42.3471,-0.0038,-0.0062,0.0024,0.1103,-80.2543,80.0,60.0,0.1,0.1,0.074,0.08,22500.0,-1
33.3333,50.0,46.3572,-0.0013,-0.0052,0.0039,0.1147,-48.8028,90.0,70.0,0.1,0.1,0.1,0.1,0.0,-1
50.0,72.2222,46.3572,-0.0,-0.0052,0.0052,0.1168,-116.3756,100.0,80.0,0.1,0.1,0.05,0.1,1520.0,1
66.6667,88.8889,33.6301,0.0015,-0.005,0.0065,0.1192,-195.5401,100.0,90.0,0.1,0.1,0.05,0.05,18990.0,1
100.0,96.8311,58.6975,0.0086,0.0009,0.0078,0.1291,137.7391,80.0,100.0,0.15,0.15,0.15,0.15,0.0,-1
100.0,85.6599,58.6975,0.0074,-0.0002,0.0075,0.1261,175.1019,90.0,0.0,0.15,0.15,0.15,0.15,0.0,1
90.4932,66.4865,58.6975,0.0056,-0.0019,0.0076,0.1226,79.1157,100.0,10.0,0.1,0.15,0.1,0.15,6250.0,1
66.4865,44.0944,48.6496,0.0034,-0.0047,0.0081,0.1187,-38.7337,0.0,20.0,0.114,0.114,0.114,0.114,0.0,1
42.4799,26.5955,47.3729,0.0041,-0.0051,0.0092,0.1194,-50.8593,10.0,30.0,0.114,0.114,0.11,0.11,0.0,1
23.3167,15.764,48.4572,0.0054,-0.0052,0.0105,0.1207,-36.6682,20.0,40.0,0.114,0.114,0.114,0.114,0.0,-1
