,SPI Swiss Performance Index - Index total (including dividend reinvestment),SPI Swiss Performance Index - Banks,SPI Swiss Performance Index - Financial services,SPI Swiss Performance Index - Insurance,SPI Swiss Performance Index - Food and beverages,SPI Swiss Performance Index - Health care,SPI Swiss Performance Index - Registered shares,SPI Swiss Performance Index - Bearer shares and participation certificates,SMI Swiss Market Index (excluding dividend reinvestment)
ALC,-0.37024037591929326,0.48286460064606845,-0.3636981591498724,0.13473790839512495,-0.5422467708050808,-0.6195059932183681,-0.24378135539077136,-0.7287849294776017,-0.24860742927700047
SIGN,0.29569213571364567,-0.11999193713875426,0.31149443331197024,0.3178080828182309,0.3011926826163311,0.31081224912517763,0.294537337918486,0.2926587415151134,0.22651851833063447
CEVA,-0.7134494350191142,0.557173535287856,-0.6811920868785477,-0.6453292199584516,-0.7586197589707546,-0.7026773809672278,-0.6954611034150716,-0.7431889423844764,-0.5738496639261551
MED,-0.5504047197780294,0.20517279936049806,-0.48276794100436116,-0.2581605055145526,-0.5789217208442323,-0.5323498695907474,-0.5276471460146901,-0.5939954491930204,-0.41858368500265114
SENS,0.4648958876970264,-0.19631489926538626,0.4543435379584465,0.4537590952707934,0.4493888998657897,0.4807424774974754,0.46047379244989584,0.4423530797564383,0.39520736331793943
LAND,-0.16412865932740972,-0.3810083216025983,-0.1235155115012042,-0.25984316013936165,-0.06394283534546527,-0.10629767201774155,-0.18601723310878238,-0.039491085826652124,-0.11689519517359086
GALE,0.7217868102257157,-0.1580107834520809,0.7099185323942253,0.6529105900378388,0.7424648445024393,0.758307569735686,0.7100112504555761,0.7545867228483865,0.6898554286624222
PLAN,-0.7371538554291702,0.25958025044964933,-0.7550583129652735,-0.46835824240163826,-0.6038422488332096,-0.6072183779522027,-0.7457562716610281,-0.543188928440152,-0.6689420523436738
BRG,0.5782562595131672,-0.143812936197886,0.6165057104786191,0.5327777110969405,0.5470582323356327,0.5330696282235989,0.5764502751752982,0.5472881048272248,0.4433184690630901
RARE,-0.23669033098028006,0.09659916052734974,-0.2962126424493405,-0.14766774645222344,-0.18849605551180126,-0.26284403888711694,-0.23352856483047593,-0.23135109103819465,-0.1734137812188249
ATRI,-0.7232516390906045,0.3552596308862968,-0.644593030931781,-0.4351873637763213,-0.7670192626876629,-0.6938269577932874,-0.6994156230518951,-0.7655121000119544,-0.5684780544145723
BLIN,0.23262451595130187,0.2548678325704956,0.32884310954444507,0.1875764418759199,0.1713801504184761,0.1966423096271566,0.25399251109944737,0.17107290548272872,0.26074402308450984
ADXN,-0.2360425557648786,-0.1844609775889175,-0.42002004915539787,-0.3357340263632159,0.3987481776533693,0.04630425721911656,-0.28904976190098697,0.3315251052185422,-0.2791743335852729
AMS,0.3994898954637066,-0.27998903234127165,0.25862413124574424,0.3004168543208091,0.3909642201434604,0.4286131737737841,0.3706955642752958,0.46556147740015813,0.3647067529202203
