,1. open,2. high,3. low,4. close,5. volume
2021-06-14,25.006,25.01,25.006,25.01,166.0
2021-06-11,24.995,25.02,24.995,25.01,773.0
2021-06-04,25.0,25.01,24.97,24.995,10938.0
2021-05-28,25.001,25.03,24.91,25.005,17494.0
2021-05-21,25.005,25.02,24.99,25.015,9417.0
2021-05-14,25.011,25.2,24.999,25.005,2707.0
2021-05-07,25.005,25.03,24.97,24.99,17662.0
2021-04-30,25.04,25.125,25.02,25.04,10437.0
2021-04-23,25.05,25.06,25.04,25.045,1922.0
2021-04-16,25.05,25.06,25.03,25.05,7312.0
2021-04-09,25.04,25.06,25.04,25.05,6355.0
2021-04-01,25.05,25.07,25.04,25.04,16138.0
2021-03-26,25.08,25.0899,25.06,25.06,15815.0
2021-03-19,25.09,25.09,25.08,25.09,1240.0
2021-03-12,25.1,25.1,25.05,25.08,28640.0
2021-03-05,25.05,25.1,25.041,25.09,5641.0
2021-02-26,25.09,25.09,25.06,25.07,4187.0
2021-02-19,25.13,25.14,25.12,25.13,956.0
2021-02-12,25.1457,25.1498,25.12,25.12,6139.0
2021-02-05,25.1399,25.4,24.84,25.14,14381.0
2021-01-29,25.155,25.165,25.14,25.145,4290.0
2021-01-22,25.16,25.17,25.14,25.16,8119.0
2021-01-15,25.07,25.14,25.07,25.125,5408.0
2021-01-08,25.065,25.09,25.065,25.07,12288.0
2020-12-31,25.08,25.09,25.06,25.07,3971.0
2020-12-24,25.08,25.09,25.07,25.09,7019.0
2020-12-18,25.06,25.0899,25.06,25.08,7606.0
2020-12-11,25.0583,25.0682,25.05,25.06,4768.0
2020-12-04,25.05,25.05,25.02,25.05,6665.0
2020-11-27,25.04,25.05,25.04,25.05,1468.0
2020-11-20,25.01,25.05,25.0,25.04,41978.0
2020-11-13,24.9299,25.01,24.92,25.01,7435.0
2020-11-06,24.9,24.9,24.87,24.885,10532.0
2020-10-30,24.96,24.962,24.94,24.95,5424.0
2020-10-23,24.9,24.955,24.9,24.955,28239.0
2020-10-16,24.895,24.92,24.895,24.91,4047.0
2020-10-09,24.91,24.94,24.88,24.895,54332.0
2020-10-02,24.96,24.97,24.9127,24.915,47497.0
2020-09-25,24.99,25.0,24.97,24.98,143451.0
2020-09-18,25.01,25.06,24.97,24.975,59841.0
