,1. open,2. high,3. low,4. close,5. volume
2021-06-14,0.0001,0.0001,0.0001,0.0001,0.0
2021-06-11,0.0001,0.0001,0.0001,0.0001,4000.0
2021-06-04,0.0002,0.0002,0.0002,0.0002,1012000.0
2021-05-28,0.0002,0.0002,0.0002,0.0002,0.0
2021-05-21,0.0006,0.0006,0.0002,0.0002,1154000.0
2021-05-14,0.0004,0.0004,0.0003,0.0003,742000.0
2021-05-07,0.0003,0.0005,0.0003,0.0004,6120004.0
2021-04-30,0.0005,0.0005,0.0003,0.0003,3937590.0
2021-04-23,0.0003,0.0005,0.0002,0.0005,3566550.0
2021-04-16,0.0005,0.0006,0.0005,0.0005,7532000.0
2021-04-09,0.0004,0.0005,0.0002,0.0005,16120976.0
2021-04-01,0.0004,0.0004,0.0003,0.0003,4374484.0
2021-03-26,0.0003,0.0004,0.0,0.0003,5700881.0
2021-03-19,0.0002,0.0002,0.0002,0.0002,1573333.0
2021-03-12,0.0004,0.0004,0.0003,0.0003,8499925.0
2021-03-05,0.0008,0.0008,0.0003,0.0004,13454044.0
2021-02-26,0.0005,0.0012,0.0002,0.0004,16890924.0
2021-02-19,0.0008,0.0013,0.0001,0.0005,14920267.0
2021-02-12,0.0001,0.01,0.0001,0.0008,84944560.0
2021-02-05,0.0001,0.0001,0.0001,0.0001,2610000.0
2021-01-29,0.0001,0.0001,0.0001,0.0001,1110000.0
2021-01-22,0.0001,0.0001,0.0001,0.0001,1000000.0
2021-01-15,0.0001,0.0001,0.0001,0.0001,0.0
2021-01-08,0.0001,0.0001,0.0001,0.0001,4683274.0
2020-12-31,0.0,0.0,0.0,0.0,4160198.0
2020-12-24,0.0,0.0,0.0,0.0,0.0
2020-12-18,0.0,0.0,0.0,0.0,0.0
2020-12-11,0.0,0.0,0.0,0.0,0.0
2020-12-04,0.0,0.0,0.0,0.0,500000.0
2020-11-27,0.0,0.0,0.0,0.0,0.0
2020-11-20,0.0,0.0,0.0,0.0,0.0
2020-11-13,0.0,0.0,0.0,0.0,0.0
2020-11-06,0.0,0.0,0.0,0.0,0.0
2020-10-30,0.0,0.0,0.0,0.0,0.0
2020-10-23,0.0001,0.0001,0.0,0.0,410250.0
2020-10-16,0.0001,0.0001,0.0001,0.0001,0.0
2020-10-09,0.0,0.0001,0.0,0.0001,7500000.0
2020-10-02,0.0,0.0,0.0,0.0,250000.0
