,1. open,2. high,3. low,4. close,5. volume
2021-06-14,10.8,10.9799,10.43,10.8,7401.0
2021-06-11,10.37,11.48,10.13,11.25,47363.0
2021-06-04,10.24,10.38,9.8001,10.0,11803.0
2021-05-28,9.8,10.2,9.3501,9.3501,14208.0
2021-05-21,10.25,10.395,9.6238,10.0,24331.0
2021-05-14,9.8901,10.0,8.88,9.65,36118.0
2021-05-07,10.29,10.35,9.57,9.9,28428.0
2021-04-30,10.57,10.78,9.75,9.78,28147.0
2021-04-23,10.4,10.8,10.07,10.61,75236.0
2021-04-16,10.39,10.68,10.03,10.25,56785.0
2021-04-09,10.55,10.97,10.06,10.11,26081.0
2021-04-01,10.49,10.8204,10.13,10.56,24754.0
2021-03-26,10.9,10.9999,9.805,10.5,46594.0
2021-03-19,10.8927,11.33,10.37,11.0,46943.0
2021-03-12,10.62,11.2377,10.39,10.79,42966.0
2021-03-05,11.5,11.91,10.06,10.54,132199.0
2021-02-26,12.24,12.33,10.5476,10.65,114466.0
2021-02-19,12.5,12.6465,11.77,12.29,317930.0
2021-02-12,11.77,12.36,11.3,11.52,164604.0
2021-02-05,10.58,11.87,10.58,11.41,142760.0
2021-01-29,11.79,11.79,10.59,10.755,410089.0
2021-01-22,10.72,18.87,10.38,12.12,4580968.0
2021-01-15,10.39,10.9,10.3,10.7,123533.0
2021-01-08,13.79,14.29,10.36,10.7,507630.0
2020-12-31,17.98,17.98,12.46,13.4,262607.0
2020-12-24,13.05,35.0,11.5,24.19,558796.0
2020-12-18,11.9,13.49,11.052,12.1619,41731.0
2020-12-11,11.2492,16.35,10.41,11.8,29900.0
2020-12-04,11.0501,11.0811,9.79,10.56,3413.0
2020-11-27,11.156,11.4538,10.6177,10.6177,2024.0
2020-11-20,11.89,12.39,11.8,12.0,4022.0
2020-11-13,10.53,11.89,10.53,11.89,724.0
2020-11-06,11.03,11.886,11.03,11.33,358.0
2020-10-30,12.455,12.455,11.03,11.03,168.0
2020-10-23,12.72,12.72,12.455,12.455,440.0
2020-10-16,12.6808,12.6808,11.7701,12.2,1363.0
2020-10-09,12.6808,12.6808,12.6808,12.6808,342.0
2020-10-02,12.35,13.135,12.04,13.135,523.0
2020-09-25,12.71,12.7315,11.42,12.35,2466.0
2020-09-18,12.77,13.62,11.78,12.26,3480.0
2020-09-11,14.69,14.69,12.5501,12.6,9239.0
2020-09-04,15.37,15.6,11.65,14.77,24153.0
2020-08-28,15.01,16.0798,11.48,14.2695,47459.0
2020-08-21,13.5,17.31,13.5,14.1,21295.0
2020-08-14,17.64,17.64,12.95,13.0,44209.0
2020-08-07,9.2946,37.52,9.2946,21.0,17977.0
2020-07-31,9.96,9.96,8.555,9.2946,13127.0
2020-07-24,8.5201,11.5,7.0,9.4001,25254.0
2020-07-17,10.35,10.35,8.52,8.52,1970.0
2020-07-10,9.19,10.45,9.16,10.35,1940.0
2020-07-02,9.55,9.82,8.19,9.44,3560.0
2020-06-26,9.7269,10.3,9.12,9.8299,3656.0
2020-06-19,7.28,11.98,7.28,9.7269,4942.0
2020-06-12,7.28,7.28,7.28,7.28,30.0
2020-06-05,7.28,7.28,7.28,7.28,26.0
2020-05-29,7.28,7.28,7.28,7.28,27.0
2020-05-22,7.28,7.28,7.28,7.28,267.0
2020-05-15,7.28,7.28,7.28,7.28,67.0
2020-05-08,7.46,8.29,7.28,7.28,3417.0
2020-05-01,7.46,7.46,7.46,7.46,160.0
2020-04-24,8.5,8.5,6.24,7.46,2836.0
2020-04-17,6.75,8.5,6.75,8.5,1111.0
2020-04-09,6.75,6.75,6.75,6.75,50.0
2020-04-03,7.5,7.5,6.6,6.75,542.0
2020-03-27,6.19,8.0,6.19,7.5,2363.0
2020-03-20,8.0,8.0,6.34,6.34,1610.0
2020-03-13,11.3,11.3,8.85,8.85,110.0
2020-03-06,11.3,11.3,11.3,11.3,151.0
2020-02-28,11.3,11.3,11.3,11.3,67.0
2020-02-21,11.3,11.3,11.3,11.3,46.0
2020-02-14,13.5,13.5,11.3,11.3,1045.0
2020-02-07,13.5,13.5,13.5,13.5,19.0
2020-02-03,13.5,13.5,13.5,13.5,12.0
