,1. open,2. high,3. low,4. close,5. volume
2021-06-14,71.41,71.49,70.705,70.83,1154809.0
2021-06-11,69.9,70.665,69.11,70.45,2925743.0
2021-06-04,71.23,71.32,68.49,70.21,2958079.0
2021-05-28,68.86,70.25,68.52,69.68,4442033.0
2021-05-21,68.56,69.59,67.3501,68.71,5533332.0
2021-05-14,68.85,69.385,65.6,68.35,4862037.0
2021-05-07,75.78,76.32,68.56,70.16,5608367.0
2021-04-30,75.98,76.53,75.06,75.43,2574520.0
2021-04-23,74.19,76.0,73.45,75.8,2082611.0
2021-04-16,74.07,74.3,72.69,74.18,3019636.0
2021-04-09,71.41,73.74,70.99,73.74,2498132.0
2021-04-01,69.11,71.39,69.11,71.16,2738462.0
2021-03-26,68.46,70.69,68.3,69.74,5145832.0
2021-03-19,68.52,69.66,67.97,68.15,3651356.0
2021-03-12,67.76,69.86,67.06,68.57,5598403.0
2021-03-05,69.82,70.88,66.15,67.94,6314138.0
2021-02-26,71.72,72.18,68.01,68.4,7926733.0
2021-02-19,74.66,74.66,71.16,71.92,4758649.0
2021-02-12,75.38,75.8,73.93,74.1,3145859.0
2021-02-05,73.05,75.95,72.53,75.66,4347154.0
2021-01-29,74.65,76.26,71.07,71.71,7855480.0
2021-01-22,72.92,74.48,72.3,74.03,4354791.0
2021-01-15,67.62,70.635,66.93,70.17,4320381.0
2021-01-08,65.94,69.21,64.83,69.11,4692733.0
2020-12-31,65.87,67.02,65.48,65.98,2463383.0
2020-12-24,62.92,65.22,62.63,64.87,1477254.0
2020-12-18,64.16,65.65,63.865,65.58,3772676.0
2020-12-11,63.95,64.9,63.34,64.24,2545921.0
2020-12-04,64.57,64.96,62.27,63.53,5079417.0
2020-11-27,63.32,63.95,62.37,63.79,3089274.0
2020-11-20,66.8,66.88,62.49,62.84,4097528.0
2020-11-13,67.65,68.11,62.86,65.41,10265761.0
2020-11-06,56.97,63.215,56.39,62.96,4682036.0
2020-10-30,62.07,62.14,55.87,56.84,5892359.0
2020-10-23,62.64,62.71,59.705,62.34,4599291.0
2020-10-16,62.31,63.38,60.82,61.81,4760933.0
2020-10-09,57.24,61.96,56.97,61.64,5596991.0
2020-10-02,57.16,57.958,56.43,56.82,4661827.0
2020-09-25,56.8,57.54,55.76,56.3,6104604.0
2020-09-18,56.63,59.85,56.24,58.84,9027818.0
2020-09-11,54.74,57.1,54.52,56.74,4197914.0
2020-09-04,57.1,58.27,54.51,55.51,7622318.0
2020-08-28,59.52,59.56,57.14,57.65,8725715.0
2020-08-21,62.24,63.01,58.08,58.61,8776562.0
2020-08-14,60.92,63.09,60.53,61.53,3607470.0
2020-08-07,61.05,62.03,60.47,61.94,2929779.0
2020-07-31,60.69,62.76,59.52,59.98,4277989.0
2020-07-24,60.43,61.86,59.47,59.77,4646884.0
2020-07-17,56.65,60.23,55.995,59.74,7914180.0
2020-07-10,59.12,59.47,56.13,56.89,5954620.0
2020-07-02,57.64,59.08,56.8,58.78,5565423.0
2020-06-26,60.96,61.72,56.66,58.03,6496181.0
2020-06-19,57.43,61.71,56.8,60.92,5875174.0
2020-06-12,62.68,63.29,56.6,57.55,5909330.0
2020-06-05,63.41,64.74,61.77,63.04,8115568.0
2020-05-29,62.84,64.92,59.92,63.54,6049029.0
2020-05-22,58.87,62.99,58.71,60.95,7262944.0
2020-05-15,53.54,58.11,53.2,56.89,8447817.0
2020-05-08,49.98,54.65,49.74,54.06,8548947.0
2020-05-01,52.9,54.42,50.88,51.21,8313840.0
2020-04-24,52.77,54.1,51.21,53.2,6641061.0
2020-04-17,52.36,53.42,49.81,53.13,7356355.0
2020-04-09,50.92,53.9,50.8,53.33,5881203.0
2020-04-03,50.4,51.52,48.26,50.01,6662518.0
2020-03-27,41.0,48.55,39.37,46.93,13028437.0
2020-03-20,43.83,49.69,42.07,42.95,11035817.0
2020-03-13,55.79,57.63,47.97,53.12,11922731.0
2020-03-06,62.06,65.37,58.45,59.28,7996306.0
2020-02-28,60.86,64.45,58.58,61.3,8809347.0
2020-02-21,62.92,63.6,62.81,63.44,2219105.0
2020-02-14,61.08,62.84,61.03,62.78,2799484.0
2020-02-07,58.98,61.77,58.94,61.15,2958282.0
2020-01-31,60.87,61.24,58.79,58.94,3972439.0
2020-01-24,60.94,62.53,60.87,61.57,3926966.0
2020-01-17,57.62,61.61,57.55,61.47,6378822.0
2020-01-10,57.32,57.72,57.05,57.48,3843050.0
2020-01-03,57.07,57.46,55.965,57.39,3536169.0
2019-12-27,57.25,57.51,56.96,57.41,2678626.0
2019-12-20,56.35,57.318,56.1,57.0,4730068.0
2019-12-13,55.43,56.34,54.81,55.8,6633066.0
2019-12-06,55.28,56.05,54.89,55.76,8657173.0
2019-11-29,56.58,56.85,54.91,55.29,8815438.0
