,1. open,2. high,3. low,4. close,5. volume
2021-06-14,3.37,3.501,3.2,3.24,271179.0
2021-06-11,3.14,3.58,2.97,3.4,3762730.0
2021-06-04,2.57,3.55,2.56,3.13,5068627.0
2021-05-28,2.69,3.1,2.48,2.56,5550332.0
2021-05-21,2.44,2.75,2.28,2.69,5114831.0
2021-05-14,3.37,3.61,2.25,2.45,7989212.0
2021-05-07,2.41,5.04,2.41,3.41,58557060.0
2021-04-30,2.37,2.85,2.34,2.41,1881480.0
2021-04-23,2.51,2.51,2.31,2.368,79307.0
2021-04-16,2.57,2.6406,2.32,2.47,172243.0
2021-04-09,2.66,3.13,2.45,2.62,517695.0
2021-04-01,2.68,3.3,2.6,2.67,1632363.0
2021-03-26,2.8,2.8,2.46,2.58,164430.0
2021-03-19,2.68,3.03,2.57,2.79,699011.0
2021-03-12,2.42,2.7738,2.41,2.67,494498.0
2021-03-05,2.7,2.7451,2.25,2.35,758168.0
2021-02-26,3.08,3.3399,2.27,2.8,1372049.0
2021-02-19,2.97,3.05,2.6901,3.03,361429.0
2021-02-12,3.0,3.2,2.68,2.94,1193361.0
2021-02-05,2.55,3.1799,2.44,2.92,1119585.0
2021-01-29,2.57,2.7,2.393,2.52,538002.0
2021-01-22,2.65,2.6975,2.41,2.54,463553.0
2021-01-15,2.22,2.4,2.11,2.325,277342.0
2021-01-08,2.19,2.2731,2.03,2.2,275779.0
2020-12-31,2.1,2.69,1.91,2.22,2368879.0
2020-12-24,2.05,2.1,1.99,2.1,68861.0
2020-12-18,2.1,2.18,1.99,2.04,305124.0
2020-12-11,1.99,2.04,1.9,1.98,203747.0
2020-12-04,2.1,2.22,1.9,1.99,408408.0
2020-11-27,1.87,2.19,1.79,2.101,470775.0
2020-11-20,1.98,1.99,1.83,1.87,132261.0
2020-11-13,1.98,2.38,1.8,1.92,884221.0
2020-11-06,1.84,1.94,1.769,1.89,144860.0
2020-10-30,1.97,1.9703,1.75,1.81,154429.0
2020-10-23,1.87,2.05,1.86,2.03,336977.0
2020-10-16,1.87,1.94,1.81,1.9,212798.0
2020-10-09,1.82,2.1028,1.75,1.92,922359.0
2020-10-02,1.93,2.4701,1.77,1.8,4706606.0
2020-09-25,1.9,1.9462,1.68,1.93,204760.0
2020-09-18,1.99,2.22,1.78,1.81,982574.0
2020-09-11,1.91,1.9783,1.85,1.94,73389.0
2020-09-04,2.15,2.15,1.9,1.91,227833.0
2020-08-28,2.17,2.2458,2.01,2.15,124619.0
2020-08-21,2.13,2.34,2.12,2.21,144656.0
2020-08-14,2.19,2.29,2.11,2.18,262659.0
2020-08-07,2.07,2.1942,1.97,2.16,334016.0
2020-07-31,2.21,2.26,1.97,2.02,363853.0
2020-07-24,2.05,2.3,1.97,2.2958,415202.0
2020-07-17,1.93,2.13,1.9,2.01,282600.0
