,1. open,2. high,3. low,4. close,5. volume
2021-06-14,623.7,628.5,623.7,628.5,4396.0
2021-06-11,618.99,632.7738,615.58,619.65,23919.0
2021-06-04,618.7,635.3116,613.11,621.2,30899.0
2021-05-28,587.15,637.68,587.1,621.0,45171.0
2021-05-21,603.98,614.51,592.5,594.69,35226.0
2021-05-14,631.62,631.62,596.29,600.39,24095.0
2021-05-07,642.0115,645.81,594.98,625.97,28305.0
2021-04-30,658.0,668.0325,636.91,638.6,32355.0
2021-04-23,666.43,671.44,641.4009,654.2,28818.0
2021-04-16,652.73,669.8,645.1,669.8,12443.0
2021-04-09,649.16,651.75,639.63,644.0,12165.0
2021-04-01,634.61,664.53,630.8,643.4,30862.0
2021-03-26,667.17,667.17,636.53,642.03,29275.0
2021-03-19,692.59,692.59,662.2,668.75,68264.0
2021-03-12,627.76,697.21,620.2,685.0,141039.0
2021-03-05,617.61,644.6,614.75,632.9,41032.0
2021-02-26,630.02,656.8,616.86,624.9,37610.0
2021-02-19,660.52,661.0,629.1,629.1,14863.0
2021-02-12,699.44,714.4299,662.1,662.1,21627.0
2021-02-05,647.849,697.69,635.01,697.69,28517.0
2021-01-29,731.245,743.1,651.47,651.47,32699.0
2021-01-22,732.11,745.0,692.94,736.0,29159.0
2021-01-15,664.0,734.0,656.0055,734.0,36851.0
2021-01-08,642.6,675.0,642.6,666.54,45312.0
2020-12-31,634.01,644.3619,628.5,642.24,23376.0
2020-12-24,627.18,645.481,616.0,630.01,24675.0
2020-12-18,630.0,645.7952,618.26,640.5,64318.0
2020-12-11,635.0,636.23,602.55,623.74,43568.0
2020-12-04,593.27,649.45,571.17,638.62,45906.0
2020-11-27,590.1,597.5,567.0001,594.41,34820.0
2020-11-20,602.59,615.7279,585.0,592.1,23958.0
2020-11-13,613.85,626.99,581.5,594.3,30181.0
2020-11-06,611.25,631.995,600.0,602.1,19477.0
2020-10-30,647.9,649.83,600.005,601.15,27110.0
2020-10-23,674.88,679.31,640.35,655.15,43079.0
