,1. open,2. high,3. low,4. close,5. volume
2021-06-14,2.75,2.83,2.73,2.8,53542.0
2021-06-11,2.7,2.94,2.6287,2.71,258133.0
2021-06-04,2.55,2.74,2.51,2.67,104953.0
2021-05-28,2.55,2.68,2.47,2.51,207291.0
2021-05-21,2.5,2.75,2.39,2.56,324615.0
2021-05-14,2.41,2.57,2.17,2.5,692638.0
2021-05-07,2.77,2.798,2.33,2.39,445699.0
2021-04-30,2.75,2.87,2.63,2.77,241332.0
2021-04-23,2.48,2.745,2.38,2.74,526303.0
2021-04-16,2.91,2.9451,2.45,2.47,1503541.0
2021-04-09,2.87,3.09,2.81,2.9,749124.0
2021-04-01,2.85,2.94,2.67,2.9,389172.0
2021-03-26,3.06,3.8,2.75,2.92,3486416.0
2021-03-19,3.19,3.4,3.03,3.09,1171998.0
2021-03-12,2.73,3.19,2.6,3.16,953201.0
2021-03-05,3.1,3.24,2.578,2.74,949607.0
2021-02-26,3.46,3.61,2.88,3.06,1701472.0
2021-02-19,3.41,4.35,3.41,3.53,3864773.0
2021-02-12,3.55,4.15,3.25,3.33,2791349.0
2021-02-05,3.4,4.4,3.22,3.47,2286877.0
2021-01-29,3.56,3.79,3.07,3.4,1294962.0
2021-01-22,3.08,3.47,2.9201,3.44,784013.0
2021-01-15,2.78,3.2732,2.67,3.02,1153582.0
2021-01-08,2.54,2.94,2.48,2.81,940487.0
2020-12-31,2.65,2.7,2.4414,2.58,729532.0
2020-12-24,2.75,3.4,2.64,2.68,2167360.0
2020-12-18,2.89,2.97,2.67,2.76,579109.0
2020-12-11,2.89,3.0999,2.71,2.9,640068.0
2020-12-04,2.46,3.1,2.36,2.88,2355256.0
2020-11-27,2.06,2.5,1.95,2.45,2110120.0
2020-11-20,2.09,2.58,1.92,2.07,2674180.0
2020-11-13,2.18,2.48,2.07,2.08,935575.0
2020-11-06,2.08,2.28,2.0,2.19,208536.0
2020-10-30,2.29,2.2999,2.0208,2.08,189469.0
2020-10-23,2.36,2.375,2.12,2.3,300850.0
2020-10-16,2.31,2.53,2.25,2.36,428170.0
2020-10-09,2.13,2.65,2.1,2.34,951350.0
2020-10-02,1.85,2.1598,1.85,2.11,323485.0
2020-09-25,1.95,1.95,1.83,1.86,243466.0
2020-09-18,1.79,2.14,1.78,1.95,528483.0
2020-09-11,1.72,1.9,1.7132,1.81,275459.0
2020-09-04,1.98,2.09,1.62,1.77,884210.0
2020-08-28,2.03,2.2,1.922,2.0,813057.0
2020-08-21,2.07,2.4699,1.7,2.02,4272071.0
2020-08-14,3.0,3.08,2.1,2.15,3402594.0
2020-08-07,2.7,3.62,2.66,2.87,6581068.0
2020-07-31,2.16,2.72,2.11,2.66,2502421.0
2020-07-24,1.92,3.08,1.83,2.12,10449307.0
2020-07-17,1.95,2.12,1.72,1.86,2041810.0
2020-07-10,1.65,2.03,1.61,1.89,2240955.0
2020-07-02,1.61,1.75,1.58,1.64,1102930.0
2020-06-26,1.83,1.95,1.59,1.62,1866263.0
2020-06-19,1.42,2.08,1.42,1.84,4192642.0
2020-06-12,1.63,1.74,1.41,1.48,1246148.0
2020-06-05,1.66,1.85,1.62,1.66,1487712.0
2020-05-29,1.7588,1.98,1.56,1.7,5140193.0
2020-05-22,1.51,1.95,1.33,1.84,7975889.0
2020-05-15,1.16,2.95,1.11,1.57,42407754.0
2020-05-08,1.11,1.24,1.09,1.17,505385.0
2020-05-01,1.0,1.35,1.0,1.11,1269393.0
2020-04-24,0.99,1.22,0.9151,1.0,1059220.0
2020-04-17,0.75,1.36,0.7395,0.95,3916010.0
2020-04-09,0.78,0.88,0.69,0.7424,287228.0
2020-04-03,0.77,0.79,0.6317,0.7,313734.0
2020-03-27,0.65,0.789,0.6,0.78,338975.0
2020-03-20,0.77,0.8359,0.5323,0.6769,514117.0
2020-03-13,1.04,1.19,0.65,0.7899,801355.0
2020-03-06,1.07,1.16,1.04,1.05,364013.0
2020-02-28,1.41,1.45,1.01,1.04,897165.0
2020-02-21,1.55,1.579,1.395,1.4536,1322356.0
2020-02-14,1.55,1.85,1.52,1.6,3186137.0
2020-02-07,1.5,1.57,1.44,1.55,266677.0
2020-01-31,1.53,1.63,1.46,1.49,578012.0
2020-01-24,1.68,1.78,1.52,1.56,555665.0
2020-01-17,1.48,1.776,1.4109,1.667,549285.0
2020-01-10,1.61,1.67,1.5,1.52,478660.0
2020-01-03,2.2,2.24,1.45,1.66,1344876.0
2019-12-27,1.49,1.95,1.4574,1.8999,740441.0
2019-12-20,1.47,1.7,1.41,1.52,193774.0
2019-12-13,1.6,1.6,1.3568,1.47,110706.0
2019-12-06,1.57,1.65,1.53,1.56,166465.0
2019-11-29,1.55,1.65,1.48,1.5438,144209.0
2019-11-22,1.38,1.55,1.35,1.52,222283.0
2019-11-15,1.49,1.53,1.33,1.4112,125662.0
2019-11-08,1.57,1.61,1.41,1.53,153129.0
2019-11-01,1.63,1.695,1.46,1.57,182204.0
2019-10-25,1.77,1.9011,1.51,1.55,192247.0
2019-10-18,1.75,2.19,1.6,1.7588,869077.0
2019-10-11,1.82,1.99,1.73,1.7599,228284.0
2019-10-04,1.9,2.07,1.7376,1.8,393946.0
2019-09-27,2.12,2.1209,1.78,1.91,252790.0
2019-09-20,2.19,2.3,1.96,2.12,580995.0
2019-09-13,2.05,2.5399,2.0,2.17,619684.0
2019-09-06,2.05,2.19,1.95,2.05,428090.0
2019-08-30,2.18,2.3199,1.9,1.95,564814.0
2019-08-23,2.16,2.48,2.1,2.18,712402.0
2019-08-16,1.99,3.11,1.85,2.18,8094011.0
2019-08-09,1.97,2.07,1.8295,1.96,291981.0
2019-08-02,1.99,2.18,1.76,1.97,838352.0
2019-07-26,2.22,2.26,1.94,2.09,387844.0
2019-07-19,2.4,2.44,2.16,2.22,542232.0
2019-07-12,2.44,2.51,2.26,2.33,658081.0
2019-07-05,2.5,2.53,2.35,2.43,335078.0
2019-06-28,2.51,2.6199,2.25,2.45,1744871.0
2019-06-21,2.75,2.78,2.35,2.51,1234483.0
2019-06-14,2.92,4.0,2.56,2.75,13781073.0
2019-06-07,3.25,4.1,2.75,2.96,4585122.0
2019-05-31,4.03,4.1799,3.14,3.31,3200565.0
2019-05-24,5.3,5.6999,3.9,4.07,2180172.0
2019-05-17,5.9,6.05,5.0,5.39,2782975.0
2019-05-10,5.31,10.1,4.8875,5.97,18562212.0
2019-05-03,0.155,8.1715,0.1335,5.31,16154422.0
2019-04-26,0.198,0.2,0.158,0.1615,5230091.0
2019-04-18,0.19,0.27,0.1801,0.1901,12543864.0
2019-04-12,0.1966,0.32,0.178,0.189,33716168.0
2019-04-05,0.165,0.19,0.1575,0.1873,1983046.0
2019-03-29,0.215,0.215,0.154,0.16,2755390.0
2019-03-22,0.21,0.2239,0.206,0.209,2092048.0
2019-03-15,0.29,0.29,0.2007,0.205,8216654.0
2019-03-08,0.24,0.308,0.222,0.295,4477542.0
2019-03-01,0.239,0.2499,0.22,0.235,1355335.0
2019-02-22,0.26,0.2825,0.2295,0.232,2328035.0
2019-02-15,0.232,0.28,0.23,0.24,1781132.0
2019-02-08,0.27,0.28,0.22,0.2375,993554.0
2019-02-01,0.2625,0.28,0.238,0.2685,1743907.0
2019-01-25,0.278,0.2799,0.23,0.25,513582.0
2019-01-18,0.29,0.29,0.24,0.265,838787.0
2019-01-11,0.25,0.3099,0.23,0.28,2890647.0
2019-01-04,0.23,0.269,0.22,0.247,1570907.0
2018-12-28,0.29,0.3135,0.27,0.2892,1272231.0
2018-12-21,0.29,0.32,0.22,0.2751,2120888.0
2018-12-14,0.36,0.36,0.26,0.292,1576258.0
2018-12-07,0.36,0.385,0.3202,0.351,1491737.0
2018-11-30,0.34,0.375,0.32,0.35,1870935.0
2018-11-23,0.3769,0.39,0.3,0.3403,990524.0
2018-11-16,0.3982,0.4,0.335,0.367,2253097.0
2018-11-09,0.465,0.4787,0.38,0.39,6492672.0
