,1. open,2. high,3. low,4. close,5. volume
2021-06-14,10.17,10.365,10.1,10.2,405527.0
2021-06-11,9.53,10.2748,9.44,10.1,2416734.0
2021-06-04,9.82,9.96,9.39,9.65,1768277.0
2021-05-28,9.5,9.86,9.3,9.71,1989185.0
2021-05-21,9.5,9.75,9.159,9.5,1657686.0
2021-05-14,9.4,9.85,8.8,9.42,2022999.0
2021-05-07,9.53,9.55,9.01,9.34,1430782.0
2021-04-30,9.65,9.82,9.3,9.48,1723129.0
2021-04-23,9.24,9.68,9.24,9.63,1564106.0
2021-04-16,9.88,9.89,9.16,9.3,2179579.0
2021-04-09,10.45,10.61,9.66,9.83,1940672.0
2021-04-01,10.53,10.92,9.91,10.42,1311554.0
2021-03-26,11.24,11.46,10.04,10.74,1664189.0
2021-03-19,12.0,12.06,11.03,11.31,1477105.0
2021-03-12,11.15,11.98,10.8701,11.96,1391048.0
2021-03-05,11.0,11.44,10.55,11.08,1784890.0
2021-02-26,11.14,12.2,10.45,10.72,2429721.0
2021-02-19,11.24,11.87,10.98,11.24,1416317.0
2021-02-12,11.26,12.27,10.12,11.29,2002051.0
2021-02-05,10.45,11.57,10.16,11.27,1320531.0
2021-01-29,11.33,11.56,10.31,10.46,1340367.0
2021-01-22,11.83,11.86,11.03,11.43,981628.0
2021-01-15,11.51,11.933,11.28,11.84,933197.0
2021-01-08,12.67,12.83,11.57,11.9,1481477.0
2020-12-31,11.87,12.75,11.38,12.67,1189732.0
2020-12-24,11.74,12.03,10.92,11.84,1495061.0
2020-12-18,10.91,11.99,10.57,11.96,2863057.0
2020-12-11,10.71,11.74,10.5,10.81,1227122.0
2020-12-04,9.4,11.01,9.4,10.79,1711763.0
2020-11-27,9.5,9.73,9.16,9.38,998320.0
2020-11-20,9.44,9.6625,8.99,9.37,901520.0
2020-11-13,9.0,9.63,8.86,9.25,1090964.0
2020-11-06,8.64,9.15,8.38,8.44,795774.0
2020-10-30,8.46,8.74,7.9033,8.66,637044.0
2020-10-23,8.22,8.58,8.11,8.51,689807.0
2020-10-16,8.58,8.85,8.1,8.11,736979.0
2020-10-09,8.19,8.9,7.89,8.48,870053.0
2020-10-02,7.44,8.17,7.231,8.16,933322.0
2020-09-25,7.73,7.73,6.83,7.4,1391671.0
2020-09-18,7.52,8.09,7.43,7.57,1093254.0
2020-09-11,7.51,7.66,7.28,7.34,622901.0
2020-09-04,7.37,7.76,7.24,7.54,579247.0
2020-08-28,7.3,7.69,7.11,7.47,572615.0
2020-08-21,7.63,7.69,7.045,7.23,648664.0
2020-08-14,7.69,7.93,7.41,7.56,800181.0
2020-08-07,7.24,7.73,6.86,7.73,915559.0
2020-07-31,7.51,7.75,7.09,7.24,1082028.0
2020-07-24,7.42,7.8,7.14,7.41,768757.0
2020-07-17,7.19,8.21,6.81,7.42,2167756.0
2020-07-10,7.89,8.23,6.71,7.12,1242102.0
2020-07-02,7.59,8.33,7.42,7.89,1322858.0
2020-06-26,8.0,8.24,7.14,7.5,1867468.0
2020-06-19,8.2,9.26,7.77,7.98,2094077.0
2020-06-12,8.57,9.35,7.25,8.4,1833350.0
2020-06-05,6.33,8.72,6.31,8.32,1683956.0
2020-05-29,6.51,7.25,6.12,6.43,1068209.0
