,1. open,2. high,3. low,4. close,5. volume
2021-06-14,45.41,46.12,44.85,45.67,136848.0
2021-06-11,44.36,45.49,43.0401,45.18,506725.0
2021-06-04,45.49,46.0,42.6,44.06,652603.0
2021-05-28,43.53,45.535,43.07,44.87,942670.0
2021-05-21,42.05,44.25,40.502,42.87,1145263.0
2021-05-14,48.5,48.59,40.085,42.74,1742626.0
2021-05-07,55.8,55.8,49.52,52.16,840473.0
2021-04-30,57.57,59.9,55.35,55.44,506538.0
2021-04-23,57.38,58.6299,53.76,57.74,554533.0
2021-04-16,57.62,58.94,55.35,58.33,595905.0
2021-04-09,60.77,60.77,56.35,57.72,549811.0
2021-04-01,53.0,59.06,50.16,58.94,907218.0
2021-03-26,57.41,58.82,50.795,52.84,1115672.0
2021-03-19,59.5,62.48,55.34,56.79,1539822.0
2021-03-12,53.0,59.99,49.34,59.65,1582407.0
2021-03-05,63.93,65.5129,49.0118,52.58,2643158.0
2021-02-26,73.23,73.97,60.75,61.23,2515929.0
2021-02-19,73.0,83.95,66.21,70.26,2380904.0
2021-02-12,61.1,71.61,61.06,69.87,1632397.0
2021-02-05,59.6,62.1,57.75,60.78,1058731.0
2021-01-29,71.78,73.37,58.64,58.79,2439351.0
2021-01-22,56.5635,69.79,56.5635,68.63,3154924.0
2021-01-15,50.12,59.3988,50.12,53.93,1388611.0
2021-01-08,46.0,51.94,43.57,50.91,1267103.0
2020-12-31,43.59,46.33,40.2,45.5,912359.0
2020-12-24,39.45,42.4299,38.56,42.21,449626.0
2020-12-18,39.33,40.45,38.89,39.89,962391.0
2020-12-11,40.72,42.17,38.27,39.03,536048.0
2020-12-04,39.63,40.6,38.29,40.52,563871.0
2020-11-27,38.79,39.615,36.92,39.58,696378.0
2020-11-20,40.45,40.9099,37.65,38.46,591353.0
2020-11-13,43.57,44.26,39.17,40.75,604546.0
2020-11-06,40.69,44.59,39.39,42.12,566506.0
2020-10-30,42.78,43.1,39.5801,40.32,506950.0
2020-10-23,43.94,44.93,42.88,43.44,329950.0
2020-10-16,45.0,45.795,43.05,43.42,415805.0
