,1. open,2. high,3. low,4. close,5. volume
2017-12-29,0.285,0.4002,0.26,0.262,22068497.0
2017-12-22,0.315,0.315,0.2623,0.2752,3069878.0
2017-12-15,0.288,0.33,0.265,0.315,4759082.0
2017-12-08,0.3195,0.3195,0.26,0.2727,2728112.0
2017-12-01,0.3016,0.319,0.3,0.315,1322859.0
2017-11-24,0.3,0.323,0.29,0.301,1264104.0
2017-11-17,0.29,0.32,0.28,0.3,2587954.0
2017-11-10,0.3,0.31,0.28,0.29,2348478.0
2017-11-03,0.33,0.38,0.27,0.3,4857015.0
2017-10-27,0.39,0.39,0.33,0.33,2135510.0
2017-10-20,0.39,0.394,0.37,0.3856,1619931.0
2017-10-13,0.42,0.44,0.38,0.38,3329791.0
2017-10-06,0.38,0.43,0.36,0.41,7626857.0
2017-09-29,0.36,0.45,0.35,0.35,6362848.0
2017-09-22,0.36,0.37,0.35,0.35,1283287.0
2017-09-15,0.37,0.39,0.34,0.36,1896954.0
2017-09-08,0.37,0.38,0.35,0.37,945817.0
2017-09-01,0.35,0.4,0.326,0.37,2622732.0
2017-08-25,0.34,0.35,0.32,0.34,1466173.0
2017-08-18,0.35,0.41,0.32,0.34,2868036.0
2017-08-11,0.57,0.57,0.26,0.34,9063318.0
2017-08-04,0.58,0.58,0.55,0.56,2086706.0
2017-07-28,0.59,0.59,0.55,0.58,2051693.0
2017-07-21,0.59,0.59,0.56,0.58,1936509.0
2017-07-14,0.56,0.61,0.55,0.58,3061183.0
2017-07-07,0.59,0.65,0.55,0.55,3221110.0
2017-06-30,0.57,0.62,0.56,0.58,2655594.0
2017-06-23,0.56,0.61,0.55,0.57,5866560.0
2017-06-16,0.58,0.58,0.55,0.55,1437683.0
2017-06-09,0.6,0.62,0.55,0.56,2372685.0
2017-06-02,0.56,0.59,0.55,0.59,1430237.0
2017-05-26,0.56,0.6,0.55,0.56,2424677.0
2017-05-19,0.6,0.61,0.55,0.56,2180032.0
2017-05-12,0.6,0.63,0.58,0.59,2473129.0
2017-05-05,0.63,0.63,0.52,0.59,3771962.0
2017-04-28,0.59,0.66,0.56,0.59,4982173.0
2017-04-21,0.58,0.59,0.55,0.58,2007719.0
2017-04-13,0.6,0.61,0.55,0.57,3206529.0
2017-04-07,0.63,0.68,0.58,0.59,6541734.0
2017-03-31,0.55,0.7,0.55,0.61,6754742.0
2017-03-24,0.6,0.65,0.55,0.59,7987910.0
2017-03-17,0.58,0.81,0.53,0.63,21126025.0
2017-03-10,0.66,0.69,0.56,0.59,4983824.0
2017-03-03,0.7,0.74,0.67,0.68,5131739.0
2017-02-24,0.75,0.75,0.62,0.69,8224613.0
2017-02-17,0.74,0.83,0.73,0.75,10328298.0
2017-02-10,2.14,2.41,0.72,0.74,31053317.0
2017-02-03,1.74,1.76,1.02,1.2,4768997.0
2017-01-27,1.68,1.93,1.6442,1.74,2643036.0
2017-01-20,1.89,1.92,1.68,1.69,1739019.0
2017-01-13,1.75,2.1193,1.66,1.91,3618794.0
2017-01-06,1.99,2.17,1.9101,2.07,3631079.0
2016-12-30,1.99,3.6,1.9,1.94,31150984.0
2016-12-23,2.1,2.28,1.87,1.98,2313678.0
2016-12-16,2.44,2.47,1.835,2.1,3373940.0
2016-12-09,2.84,2.89,2.32,2.41,1956577.0
2016-12-02,3.57,3.58,2.611,2.83,2994961.0
2016-11-25,3.58,4.75,3.3501,3.54,3036489.0
2016-11-18,4.0,4.0,3.15,3.58,2123613.0
2016-11-11,0.2,0.219,0.162,0.21,15935882.0
2016-11-04,0.2521,0.2578,0.1711,0.1897,19341115.0
2016-10-28,0.3,0.302,0.25,0.2511,13116548.0
2016-10-21,0.2885,0.3488,0.2655,0.2829,19671254.0
2016-10-14,0.3196,0.32,0.2624,0.28,15146810.0
2016-10-07,0.35,0.35,0.31,0.3123,8238177.0
2016-09-30,0.3646,0.37,0.323,0.3503,13364988.0
2016-09-23,0.317,0.408,0.317,0.3622,28219484.0
2016-09-16,0.37,0.379,0.3149,0.3199,24501050.0
2016-09-09,0.4,0.412,0.38,0.38,10348930.0
2016-09-02,0.43,0.44,0.39,0.4033,12739041.0
2016-08-26,0.43,0.4552,0.41,0.4202,17071753.0
2016-08-19,0.434,0.4496,0.392,0.4304,17169664.0
2016-08-12,0.486,0.51,0.392,0.422,24908572.0
2016-08-05,0.455,0.49,0.4202,0.4804,16955633.0
2016-07-29,0.465,0.503,0.4306,0.4446,21359287.0
2016-07-22,0.41,0.5588,0.38,0.45,55997171.0
2016-07-15,0.4652,0.475,0.39,0.4049,38393884.0
2016-07-08,0.702,0.7737,0.445,0.4554,76302828.0
2016-07-01,2.1,2.13,0.275,0.6175,188854196.0
2016-06-24,2.34,2.4901,1.93,2.1,19991270.0
2016-06-17,2.15,2.3,2.03,2.22,13438741.0
2016-06-10,2.19,2.19,1.92,2.08,16530192.0
2016-06-03,1.77,2.29,1.75,2.12,41295824.0
2016-05-27,1.56,1.775,1.5311,1.73,13367950.0
2016-05-20,1.3,1.55,1.25,1.52,10745341.0
2016-05-13,1.23,1.4,1.16,1.29,7099166.0
2016-05-06,1.37,1.38,1.16,1.25,5197214.0
2016-04-29,1.4,1.47,1.36,1.38,6164886.0
2016-04-22,1.55,1.55,1.31,1.42,9266451.0
2016-04-15,1.5,1.61,1.48,1.54,7968463.0
2016-04-08,1.58,1.9,1.38,1.48,25912827.0
2016-04-01,1.06,1.55,0.99,1.49,21155228.0
2016-03-24,0.88,1.24,0.85,1.06,13581144.0
2016-03-18,0.879,0.88,0.7804,0.88,4591049.0
2016-03-11,1.0,1.03,0.78,0.8616,8759887.0
2016-03-04,0.83,1.04,0.8016,0.9815,7482004.0
2016-02-26,0.85,0.8676,0.7819,0.83,2869647.0
2016-02-19,0.8,0.9051,0.7675,0.836,6539303.0
2016-02-12,0.66,0.78,0.6,0.7799,6084548.0
2016-02-05,0.66,0.7,0.5855,0.6299,7281791.0
2016-01-29,0.81,0.835,0.67,0.67,8238679.0
2016-01-22,0.703,0.8437,0.6626,0.8131,7691662.0
2016-01-15,0.825,0.8421,0.668,0.7001,11664182.0
2016-01-08,1.46,1.48,0.655,0.79,23429102.0
2015-12-31,1.56,1.57,1.45,1.47,3411608.0
2015-12-24,1.51,1.67,1.5,1.53,4132756.0
2015-12-18,1.49,1.55,1.47,1.5,4086436.0
2015-12-11,1.49,1.58,1.45,1.49,5678973.0
2015-12-04,1.49,1.51,1.41,1.48,3757444.0
2015-11-27,1.46,1.52,1.45,1.49,2814146.0
2015-11-20,1.49,1.53,1.42,1.47,4217615.0
2015-11-13,1.78,1.78,1.37,1.5,9701922.0
2015-11-06,1.72,1.828,1.66,1.73,4567290.0
2015-10-30,1.66,1.8,1.615,1.68,4315211.0
2015-10-23,1.72,1.78,1.58,1.67,4184413.0
2015-10-16,1.74,1.8,1.65,1.75,3984187.0
2015-10-09,1.72,1.78,1.65,1.74,6136026.0
2015-10-02,1.72,1.74,1.34,1.65,9902887.0
2015-09-25,1.78,1.92,1.63,1.65,9641545.0
2015-09-18,1.69,1.829,1.65,1.74,7829122.0
2015-09-11,1.56,1.75,1.52,1.7,4589953.0
2015-09-04,1.5,1.67,1.5,1.56,6421061.0
2015-08-28,1.27,1.63,1.1,1.5,11132012.0
2015-08-21,1.43,1.5,1.2701,1.34,6141995.0
2015-08-14,1.48,1.52,1.4,1.42,6681387.0
2015-08-07,1.61,1.69,1.46,1.51,7516224.0
2015-07-31,1.6,1.75,1.46,1.64,9967014.0
2015-07-24,1.78,1.8,1.6,1.61,7154624.0
2015-07-17,1.65,1.9,1.61,1.79,10871861.0
2015-07-10,1.66,1.74,1.5,1.63,9736194.0
2015-07-02,1.74,1.78,1.65,1.68,7158013.0
2015-06-26,1.78,1.96,1.72,1.76,13801392.0
2015-06-19,1.94,1.99,1.73,1.77,13475803.0
2015-06-12,2.39,2.39,1.83,1.89,36604800.0
2015-06-05,1.61,2.3,1.58,2.23,34595514.0
2015-05-29,1.38,1.65,1.36,1.57,27643835.0
2015-05-22,1.34,1.36,1.28,1.36,7396486.0
2015-05-15,1.34,1.4,1.3,1.35,7146599.0
2015-05-08,1.38,1.4,1.275,1.34,9276928.0
2015-05-01,1.47,1.47,1.32,1.37,11608229.0
2015-04-24,1.4,1.47,1.36,1.45,12515456.0
2015-04-17,1.37,1.48,1.36,1.4,17207804.0
2015-04-10,1.37,1.42,1.3,1.38,7767037.0
2015-04-02,1.41,1.43,1.36,1.37,9869477.0
2015-03-27,1.49,1.51,1.35,1.35,16403094.0
2015-03-20,1.45,1.55,1.36,1.46,21800231.0
2015-03-13,1.89,1.91,1.33,1.42,32041278.0
2015-03-06,1.81,2.12,1.78,1.88,15584262.0
2015-02-27,1.84,1.93,1.78,1.8,5245103.0
2015-02-20,1.69,1.93,1.655,1.84,7139193.0
2015-02-13,1.76,1.76,1.6,1.68,6590455.0
2015-02-06,1.65,1.77,1.61,1.67,6395291.0
2015-01-30,1.65,1.77,1.6,1.63,4471767.0
2015-01-23,1.78,1.79,1.5501,1.66,4596107.0
2015-01-16,1.72,1.963,1.66,1.76,14208757.0
2015-01-09,1.58,1.68,1.43,1.65,10662672.0
2015-01-02,1.53,1.58,1.48,1.56,6472145.0
2014-12-26,1.57,1.59,1.48,1.53,5648640.0
2014-12-19,1.68,1.7,1.51,1.57,7855603.0
2014-12-12,1.75,1.76,1.62,1.69,6786475.0
