,1. open,2. high,3. low,4. close,5. volume
2021-06-14,24.83,25.1,24.6,24.72,318172.0
2021-06-11,23.95,26.04,23.94,24.83,1551114.0
2021-06-04,23.1712,24.51,23.17,23.93,1702355.0
2021-05-28,24.4152,24.7166,22.71,23.13,4070403.0
2021-05-21,24.05,25.38,23.85,24.33,2129472.0
2021-05-14,22.6,24.2,21.695,24.02,2346679.0
2021-05-07,21.17,22.35,19.95,22.29,1632383.0
2021-04-30,21.22,21.5138,20.55,20.99,1152301.0
2021-04-23,21.64,21.78,20.21,21.14,1944201.0
2021-04-16,18.99,21.15,18.9794,21.1,3258513.0
2021-04-09,18.64,19.08,18.3822,18.92,909590.0
2021-04-01,18.17,18.66,17.6,18.56,1333753.0
2021-03-26,18.1,18.55,17.53,18.32,980564.0
2021-03-19,19.28,19.3572,18.03,18.16,1291189.0
2021-03-12,18.46,19.73,18.4,19.31,1837172.0
2021-03-05,18.25,19.18,17.96,18.33,1420171.0
2021-02-26,18.24,19.33,17.67,17.89,1303308.0
2021-02-19,18.98,19.28,18.12,18.16,1361678.0
2021-02-12,17.15,18.61,16.9001,18.6,1292395.0
2021-02-05,15.91,17.0648,15.65,16.96,1162076.0
2021-01-29,16.49,17.25,15.21,15.74,1746043.0
2021-01-22,15.65,16.64,15.5,16.435,1437022.0
2021-01-15,14.53,15.5,14.35,15.49,1229848.0
2021-01-08,14.64,14.75,14.19,14.6,1569544.0
2020-12-31,14.35,14.82,14.27,14.64,950630.0
2020-12-24,14.78,14.87,14.17,14.31,1173814.0
2020-12-18,14.82,15.75,14.78,14.78,2025067.0
2020-12-11,14.87,14.97,14.4707,14.79,1398927.0
2020-12-04,14.94,15.04,14.26,14.87,1378749.0
2020-11-27,15.1,15.15,14.69,14.94,852191.0
2020-11-20,14.5,15.22,14.36,15.03,1496179.0
2020-11-13,14.45,14.7,13.84,14.27,1188805.0
2020-11-06,13.9,14.38,13.79,13.86,761706.0
2020-10-30,14.41,14.47,13.55,13.87,987720.0
2020-10-23,14.33,14.77,14.24,14.42,907873.0
2020-10-16,14.45,14.5,14.05,14.25,891546.0
2020-10-09,15.55,15.74,14.0,14.41,2278024.0
2020-10-02,15.09,15.51,14.9,15.5,426186.0
2020-09-25,15.26,15.2733,14.4,14.9,730351.0
2020-09-18,15.34,15.96,15.21,15.36,643847.0
2020-09-11,15.31,15.8,15.0,15.01,489000.0
2020-09-04,15.74,15.87,15.03,15.3,723319.0
2020-08-28,15.53,15.6,15.01,15.58,577810.0
2020-08-21,15.67,16.22,15.35,15.46,646974.0
2020-08-14,16.63,16.63,15.5,15.8,587115.0
2020-08-07,16.2,16.76,15.73,16.5,785573.0
2020-07-31,15.93,16.61,15.56,16.08,805602.0
2020-07-24,16.11,16.23,15.81,15.89,577737.0
2020-07-17,15.89,16.23,15.7,16.09,710263.0
2020-07-10,16.0,16.15,14.94,15.77,1031895.0
2020-07-02,15.32,16.368,15.15,15.64,607037.0
2020-06-26,15.04,15.68,14.66,15.31,1259422.0
2020-06-19,15.23,16.16,15.03,15.23,963854.0
2020-06-12,15.55,16.25,14.385,15.35,1362295.0
2020-06-05,14.6,15.945,14.6,15.46,900154.0
2020-05-29,14.17,15.14,14.1,14.5,604029.0
2020-05-22,13.38,14.54,13.26,14.07,764239.0
2020-05-15,14.3,14.4,12.795,13.0,902016.0
2020-05-08,13.62,14.46,13.4,14.37,726568.0
2020-05-01,13.69,13.94,13.01,13.7,914055.0
2020-04-24,12.56,13.625,12.01,13.52,895714.0
2020-04-17,13.1,13.1,11.664,12.68,910785.0
2020-04-09,11.94,13.22,11.13,13.15,842800.0
2020-04-03,11.25,12.0,10.8,11.61,942745.0
2020-03-27,10.61,11.429,9.96,11.0,1197069.0
2020-03-20,9.85,11.19,9.61,10.51,1229799.0
2020-03-13,13.4,13.475,10.64,11.25,1200330.0
2020-03-06,13.5,14.25,13.43,13.9,623952.0
2020-02-28,14.19,14.4,13.21,13.43,795381.0
2020-02-21,13.95,14.44,13.69,14.38,423389.0
2020-02-14,13.51,14.0,13.5,14.0,340516.0
2020-02-07,13.25,13.62,13.15,13.46,431341.0
2020-01-31,13.51,13.76,13.19,13.23,606338.0
2020-01-24,13.4,13.61,13.137,13.51,324505.0
2020-01-17,13.06,13.49,12.97,13.43,487534.0
2020-01-10,12.97,13.34,12.94,13.07,635124.0
2020-01-03,12.88,13.02,12.65,12.96,337015.0
2019-12-27,12.84,12.93,12.7,12.84,324774.0
2019-12-20,12.86,12.96,12.64,12.8,541599.0
2019-12-13,13.08,13.31,12.72,12.86,597305.0
2019-12-06,12.65,13.1,12.5,13.085,492888.0
2019-11-29,12.13,12.68,11.96,12.68,430029.0
2019-11-22,12.03,12.23,11.94,12.1,576515.0
2019-11-15,12.09,12.23,12.01,12.085,520688.0
2019-11-08,12.04,12.14,11.98,12.1,490842.0
2019-11-01,11.88,12.022,11.8,12.01,405691.0
2019-10-25,11.86,11.995,11.78,11.94,459865.0
2019-10-18,11.88,11.92,11.7,11.89,554580.0
2019-10-11,11.65,12.03,11.56,11.87,1147666.0
2019-10-04,11.93,12.015,11.66,11.665,841804.0
2019-09-27,11.95,12.05,11.88,11.89,675575.0
2019-09-20,12.0,12.1,11.91,11.96,1024392.0
2019-09-13,11.72,12.025,11.685,11.98,1020054.0
2019-09-06,11.49,11.75,11.48,11.71,492510.0
2019-08-30,11.51,11.72,11.38,11.51,567326.0
2019-08-23,11.64,11.86,11.45,11.49,589372.0
2019-08-16,11.68,11.78,11.425,11.64,415504.0
2019-08-09,11.51,11.7,11.36,11.69,540163.0
2019-08-02,11.52,11.629,11.37,11.56,464921.0
2019-07-26,11.33,11.67,11.32,11.51,326882.0
2019-07-19,11.65,11.73,11.32,11.33,546578.0
2019-07-12,11.64,11.7,11.46,11.66,446944.0
2019-07-05,11.59,11.69,11.37,11.63,580288.0
2019-06-28,11.61,11.74,11.3,11.53,1398424.0
2019-06-21,12.27,12.39,11.51,11.6,2518454.0
2019-06-14,12.25,12.57,12.2,12.25,428794.0
2019-06-07,12.43,12.65,12.18,12.24,585664.0
2019-05-31,12.69,12.7,12.12,12.4,309021.0
2019-05-24,12.68,12.72,12.573,12.69,352983.0
2019-05-17,12.35,12.7,12.29,12.68,314718.0
2019-05-10,12.65,12.69,12.32,12.48,296869.0
2019-05-03,12.53,12.7,12.29,12.65,333231.0
2019-04-26,12.54,12.81,12.23,12.51,464737.0
2019-04-18,12.56,12.69,12.42,12.54,267362.0
2019-04-12,12.35,12.59,12.13,12.52,322961.0
