,1. open,2. high,3. low,4. close,5. volume
2021-06-14,288.5,291.0,277.85,279.97,116228.0
2021-06-11,312.8,315.1471,286.125,289.49,723670.0
2021-06-04,334.39,334.59,308.0,312.57,438000.0
2021-05-28,317.13,336.99,316.9841,332.25,536530.0
2021-05-21,298.53,326.8099,297.61,313.76,684745.0
2021-05-14,280.0,297.13,273.62,297.0,908599.0
2021-05-07,228.85,278.97,220.525,278.32,766120.0
2021-04-30,233.78,236.27,222.4,227.09,356512.0
2021-04-23,235.3,241.86,228.5,232.62,394532.0
2021-04-16,222.19,240.22,222.19,237.09,453691.0
2021-04-09,225.38,230.0,215.11,221.23,421938.0
2021-04-01,220.38,226.1,202.53,222.3,604374.0
2021-03-26,242.29,244.12,215.8,224.52,689169.0
2021-03-19,257.51,260.69,234.74,238.34,848766.0
2021-03-12,243.31,260.425,231.95,257.76,606841.0
2021-03-05,257.22,269.97,227.31,243.16,622514.0
2021-02-26,264.76,268.637,232.67,252.99,649602.0
2021-02-19,276.48,279.4597,265.805,268.23,420985.0
2021-02-12,252.9,278.3311,252.0,274.3,504621.0
2021-02-05,236.43,252.75,225.445,251.01,628769.0
2021-01-29,227.34,247.95,225.01,234.67,665920.0
2021-01-22,211.05,228.9999,209.85,220.87,487010.0
2021-01-15,207.17,219.78,202.96,208.57,665604.0
2021-01-08,196.34,226.7688,190.69,208.31,802917.0
2020-12-31,198.93,198.986,185.065,196.34,354594.0
2020-12-24,196.26,203.0,192.33,196.65,438760.0
2020-12-18,186.24,203.2,186.24,200.24,596896.0
2020-12-11,204.09,207.07,183.46,184.72,702946.0
2020-12-04,207.0,208.57,198.44,204.81,670395.0
2020-11-27,180.29,206.37,180.29,206.37,669431.0
2020-11-20,170.59,180.9934,167.24,178.87,534779.0
2020-11-13,175.87,179.04,154.89,169.62,857656.0
2020-11-06,143.18,174.73,141.06,173.48,1240495.0
2020-10-30,148.56,154.3198,139.59,140.49,789139.0
2020-10-23,156.0,157.71,145.98,150.56,785575.0
2020-10-16,166.0,167.11,155.1,155.99,680212.0
2020-10-09,165.0,169.38,159.4447,164.99,790072.0
2020-10-02,166.25,167.54,160.91,164.55,984621.0
2020-09-25,169.82,175.63,160.575,164.9,652874.0
2020-09-18,179.85,181.1,171.16,173.61,712220.0
2020-09-11,158.16,184.29,156.7932,177.83,779414.0
2020-09-04,167.79,171.845,156.145,160.44,1594025.0
2020-08-28,166.73,169.5059,160.1025,166.72,882761.0
2020-08-21,163.22,166.34,158.54,165.22,1662378.0
2020-08-14,164.37,168.82,161.02,162.92,1047615.0
2020-08-07,168.0,183.54,159.2,163.42,1813224.0
2020-07-31,163.45,168.74,162.79,167.13,1147989.0
2020-07-24,159.51,170.42,158.43,162.12,1546727.0
2020-07-17,152.85,162.75,145.72,159.58,1173609.0
2020-07-10,152.98,157.98,147.63,152.85,2323597.0
2020-07-02,132.3,153.13,129.5,149.44,1236249.0
2020-06-26,119.5,133.18,118.2,131.61,1116333.0
2020-06-19,104.93,122.12,103.49,118.72,1172529.0
2020-06-12,114.57,117.25,99.59,107.76,1293360.0
2020-06-05,103.0,113.91,101.92,113.43,1213031.0
2020-05-29,94.6,102.8,93.89,102.34,1039736.0
2020-05-22,94.51,97.1,89.5,91.52,1054488.0
2020-05-15,95.36,101.18,84.75,91.37,1703914.0
2020-05-08,72.26,96.75,71.66,95.62,2044442.0
2020-05-01,69.5,80.97,69.5,73.3,1188027.0
2020-04-24,64.0,70.14,63.16,69.12,1018324.0
2020-04-17,68.0,74.7,63.74,64.76,1447002.0
2020-04-09,59.6,70.26,59.22,68.8,955933.0
2020-04-03,64.74,65.2,54.75,57.19,1297814.0
2020-03-27,54.57,71.51,51.86,65.09,1751790.0
2020-03-20,64.0,66.42,49.03,54.75,2506594.0
2020-03-13,75.2,76.86,61.99,68.51,1750292.0
2020-03-06,83.41,85.77,77.02,79.46,1450028.0
2020-02-28,92.81,98.15,81.0,83.11,3031697.0
2020-02-21,103.48,105.17,95.4,95.98,986586.0
2020-02-14,100.02,107.36,100.01,103.68,791663.0
2020-02-07,97.59,104.85,97.2,100.59,1140571.0
2020-01-31,101.17,105.01,95.53,96.63,1267141.0
2020-01-24,115.53,119.99,102.53,103.5,1628623.0
2020-01-17,109.44,117.89,108.8,115.58,1194196.0
2020-01-10,109.58,112.95,108.72,109.57,1053349.0
2020-01-03,108.91,113.0,107.0,110.67,939291.0
2019-12-27,105.44,110.0,105.0,108.33,807332.0
2019-12-20,91.43,107.27,91.4,105.0,3018951.0
2019-12-13,91.14,93.91,87.72,90.38,1162946.0
2019-12-06,87.92,92.92,84.31,90.57,1650605.0
2019-11-29,83.96,89.52,83.96,87.91,995611.0
2019-11-22,78.32,88.76,77.5,83.57,2608447.0
2019-11-15,74.26,82.5,74.26,77.25,4044250.0
2019-11-08,110.36,113.62,66.5,74.36,5656674.0
2019-11-01,109.0,113.0,105.74,109.27,1395397.0
2019-10-25,101.24,109.64,100.98,108.96,1226891.0
2019-10-18,96.96,104.35,96.11,100.7,1376657.0
2019-10-11,102.74,104.78,95.1,97.02,911761.0
2019-10-04,101.19,105.94,97.23,102.83,1071800.0
2019-09-27,108.0,110.47,98.07,101.01,1601054.0
2019-09-20,105.24,109.14,103.58,107.99,1579287.0
2019-09-13,100.85,109.11,98.55,106.05,1678243.0
2019-09-06,99.23,104.39,98.39,100.83,1165818.0
2019-08-30,101.46,106.05,97.47,99.96,1592148.0
2019-08-23,103.58,107.63,98.98,100.56,1564387.0
2019-08-16,104.16,104.82,97.01,101.49,1464088.0
2019-08-09,101.63,106.38,96.4,104.53,1997138.0
2019-08-02,114.64,117.81,102.68,103.19,2902506.0
2019-07-26,114.46,117.05,111.08,114.58,1304286.0
2019-07-19,113.05,116.06,108.42,113.74,1426429.0
2019-07-12,122.06,123.7,110.68,113.07,1300810.0
2019-07-05,129.82,130.39,120.59,122.4,826562.0
2019-06-28,127.5,130.99,125.5,128.3,1104398.0
2019-06-21,137.33,142.49,126.0,126.72,1106992.0
2019-06-14,136.68,142.97,136.0201,137.29,816231.0
2019-06-07,129.06,137.74,126.86,136.96,1051746.0
2019-05-31,138.59,140.75,127.29,128.95,730329.0
2019-05-24,141.69,148.72,137.88,138.43,837153.0
2019-05-17,137.64,147.28,136.41,142.34,1064291.0
2019-05-10,146.99,154.08,137.58,141.11,1368140.0
2019-05-03,155.4,159.41,140.41,150.76,2479374.0
2019-04-26,144.76,157.37,144.52,155.1,1314630.0
2019-04-18,136.68,145.27,136.15,143.77,994810.0
2019-04-12,133.26,139.96,132.95,136.49,1060603.0
2019-04-05,128.27,134.97,126.89,133.38,1037451.0
2019-03-29,125.83,133.26,125.49,127.55,969368.0
2019-03-22,136.17,137.05,123.43,125.64,937442.0
2019-03-15,131.56,137.1341,131.2,136.31,1008970.0
2019-03-08,127.73,134.46,125.85,131.47,1219809.0
2019-03-01,130.0,144.11,123.01,126.6,2513371.0
2019-02-22,132.48,132.9,125.51,129.09,879816.0
2019-02-15,129.36,136.02,128.25,132.82,1161282.0
2019-02-08,124.6,131.77,124.6,129.3,1196311.0
2019-02-01,123.06,127.78,120.09,124.17,940404.0
2019-01-25,121.0,124.69,117.8938,123.82,1015841.0
2019-01-18,111.28,125.44,108.62,122.21,1765891.0
2019-01-11,132.21,132.21,106.31,111.81,2403719.0
2019-01-04,124.82,131.21,120.35,131.09,1080085.0
2018-12-28,117.45,127.91,112.8,124.14,955223.0
2018-12-21,133.09,133.6,118.47,119.13,1895003.0
2018-12-14,139.32,142.57,130.01,133.34,1324753.0
2018-12-07,150.86,155.69,137.32,138.9,1293814.0
2018-11-30,147.96,150.25,142.64,148.5,1385691.0
2018-11-23,158.35,159.77,143.38,146.38,1181477.0
2018-11-16,159.0,165.7,149.6,158.25,1364729.0
2018-11-09,211.82,219.9,148.0,159.89,2508776.0
2018-11-02,208.36,219.99,200.54,211.84,1041060.0
2018-10-26,204.3,212.98,197.23,205.05,1108093.0
2018-10-19,209.98,218.67,203.97,203.97,968675.0
2018-10-12,211.21,214.98,194.35,210.89,1314260.0
2018-10-05,223.29,223.73,207.23,212.33,1117879.0
2018-09-28,215.12,228.76,208.7,221.55,1637893.0
