,1. open,2. high,3. low,4. close,5. volume
2021-06-14,53.41,53.6,52.47,52.67,2489425.0
2021-06-11,49.18,53.31,48.4,53.27,13167851.0
2021-06-04,51.75,51.88,48.84,49.27,5910291.0
2021-05-28,57.81,59.17,46.0035,51.51,28445594.0
2021-05-21,53.0,57.88,52.1,56.89,10295470.0
2021-05-14,54.08,56.665,51.31,53.62,11597899.0
2021-05-07,59.88,59.9,52.88,54.61,11567339.0
2021-04-30,62.08,64.5,58.6505,59.65,8514653.0
2021-04-23,59.92,62.16,56.91,62.01,10062268.0
2021-04-16,58.59,64.44,58.59,60.51,17593736.0
2021-04-09,55.43,59.26,54.15,59.15,14609861.0
2021-04-01,52.1,56.73,49.91,54.92,16622876.0
2021-03-26,54.01,55.624,50.52,52.44,20392380.0
2021-03-19,58.82,60.75,51.9,53.22,12679387.0
2021-03-12,57.32,60.53,53.705,59.29,16739085.0
2021-03-05,66.0,66.94,53.55,57.44,14421235.0
2021-02-26,82.54,82.98,64.6701,64.99,17499685.0
2021-02-19,85.59,86.17,81.0901,83.99,5374890.0
2021-02-12,81.15,83.11,79.02,82.26,5830968.0
2021-02-05,67.66,80.52,67.595,80.45,7210147.0
2021-01-29,73.0,73.0,61.05,66.7,13875074.0
2021-01-22,71.6,73.04,70.26,71.55,3830726.0
2021-01-15,75.0,75.0,69.9701,70.9,8699938.0
2021-01-08,71.96,72.61,67.89,71.46,9871328.0
2020-12-31,75.0,76.37,71.28,71.85,9570215.0
2020-12-24,69.78,74.67,68.8,72.72,6054677.0
2020-12-18,70.28,71.71,68.53,70.49,8588046.0
2020-12-11,70.51,73.05,66.57,70.16,6038026.0
2020-12-04,69.6,72.64,66.72,70.67,8996252.0
2020-11-27,61.65,71.53,60.89,68.81,15780402.0
2020-11-20,62.46,67.86,61.28,62.14,16720662.0
2020-11-13,62.23,64.46,58.9166,62.77,9895184.0
2020-11-06,55.93,63.01,53.83,62.52,7267556.0
2020-10-30,59.89,60.25,54.3862,55.35,7632559.0
2020-10-23,62.62,65.15,58.075,60.49,8717815.0
2020-10-16,64.0,64.3599,59.24,62.42,6750581.0
2020-10-09,63.52,64.48,61.555,62.71,6922239.0
2020-10-02,62.6,66.1,60.95,63.23,13404256.0
2020-09-25,57.14,62.74,56.41,61.66,10422602.0
2020-09-18,57.86,59.78,56.29,58.07,8976089.0
2020-09-11,55.5,59.92,55.1,56.65,8904687.0
2020-09-04,61.64,63.49,55.36,58.32,11738502.0
2020-08-28,49.43,63.05,46.8,61.64,32332152.0
2020-08-21,46.45,49.29,46.0,48.91,12139522.0
2020-08-14,43.7,47.35,41.51,46.46,15622597.0
2020-08-07,45.68,45.8,42.35,43.64,7878662.0
2020-07-31,44.3,46.16,43.24,45.41,11378219.0
2020-07-24,44.77,46.5,42.06,43.98,10351670.0
2020-07-17,49.5,49.93,43.5,44.4,13705700.0
2020-07-10,49.09,51.58,48.41,49.0,12670200.0
2020-07-02,43.9,48.55,42.42,48.01,7457200.0
2020-06-26,47.44,48.67,42.72,43.95,19381406.0
2020-06-19,43.84,48.65,43.81,47.52,11946981.0
2020-06-12,44.25,48.31,42.62,44.81,10909989.0
2020-06-05,45.57,46.42,43.0,43.95,14731487.0
2020-05-29,48.69,49.93,42.5,45.92,24166779.0
2020-05-22,45.0,51.1,44.02,51.06,21891579.0
2020-05-15,42.26,44.0,39.16,43.11,12135404.0
2020-05-08,37.07,42.8,36.49,42.32,12809492.0
2020-05-01,39.7,42.69,38.43,39.06,13505122.0
2020-04-24,35.97,39.8,35.11,39.18,14977946.0
2020-04-17,35.88,38.42,34.5,36.75,14034360.0
2020-04-09,30.41,37.01,30.02,35.77,14419727.0
2020-04-03,32.25,33.86,26.04,28.96,23226041.0
2020-03-27,27.86,36.46,27.0,32.78,15506319.0
2020-03-20,34.0,34.9,26.1,28.29,21571023.0
2020-03-13,37.0,40.72,33.86,38.56,18889223.0
2020-03-06,45.5,46.2,39.42,40.87,22210969.0
2020-02-28,56.71,59.99,41.1,44.94,33934986.0
2020-02-21,62.82,63.69,58.73,59.87,7368800.0
2020-02-14,59.85,63.71,59.85,62.85,8549795.0
2020-02-07,57.88,63.64,56.86,59.87,15613318.0
2020-01-31,56.03,59.23,55.11,57.59,6902800.0
2020-01-24,56.04,59.44,54.96,57.99,6235257.0
2020-01-17,57.08,58.46,56.17,56.52,6737028.0
2020-01-10,53.73,58.25,53.53,56.76,11437073.0
2020-01-03,52.4,54.53,50.25,54.35,10343770.0
2019-12-27,52.57,53.32,51.6,52.63,3442148.0
2019-12-20,51.94,53.7,51.35,53.0,9126845.0
2019-12-13,52.71,53.02,49.89,51.79,8499204.0
2019-12-06,53.45,53.45,49.6,52.81,13726456.0
2019-11-29,53.38,54.95,52.22,53.92,9683061.0
2019-11-22,47.0,55.6816,46.12,53.24,27626592.0
2019-11-15,47.43,49.49,47.111,47.8,10769154.0
2019-11-08,48.88,49.14,45.1,47.74,7467013.0
2019-11-01,49.08,50.54,46.02,48.5,9948035.0
2019-10-25,43.8,48.94,42.92,48.71,12808382.0
2019-10-18,48.47,50.0,41.87,44.01,15600328.0
2019-10-11,49.43,51.34,47.53,49.72,7814220.0
2019-10-04,46.83,50.01,45.17,49.9,9187109.0
2019-09-27,52.2,52.94,45.63,46.91,15009448.0
2019-09-20,45.73,54.56,45.56,53.0,18929197.0
2019-09-13,51.9,52.0,45.78,46.27,20174827.0
2019-09-06,53.92,54.22,51.58,51.89,8543457.0
2019-08-30,58.56,60.34,52.3,54.33,26120921.0
2019-08-23,59.09,59.98,56.22,57.09,7313645.0
2019-08-16,56.2,58.78,54.31,58.03,5669631.0
2019-08-09,53.46,57.73,52.29,56.35,6040929.0
2019-08-02,60.0,60.35,55.2,55.8,6049569.0
2019-07-26,55.93,60.36,55.841,59.9,5834171.0
2019-07-19,57.46,58.46,56.01,56.54,6094703.0
2019-07-12,52.47,57.82,52.2768,56.83,8500338.0
2019-07-05,53.02,53.47,49.96,52.97,7551813.0
2019-06-28,50.98,51.1,48.71,50.47,16639307.0
2019-06-21,48.7,53.0,47.5,50.86,15937778.0
2019-06-14,48.5,50.66,46.1,48.49,14014083.0
2019-06-07,43.59,48.41,40.26,48.01,17844330.0
2019-05-31,41.33,44.9,39.65,43.51,26116529.0
2019-05-24,37.86,39.24,36.865,37.11,6565034.0
2019-05-17,38.77,39.53,36.32,38.28,6530167.0
2019-05-10,38.55,40.0,37.63,39.75,10020908.0
2019-05-03,39.01,39.88,37.035,39.78,5707222.0
2019-04-26,35.09,39.1,34.5,38.81,8883253.0
2019-04-18,35.65,36.54,33.83,35.2,6003084.0
2019-04-12,35.09,36.52,33.59,35.69,16623462.0
2019-04-05,40.0,40.63,34.89,35.24,4866014.0
2019-03-29,38.67,41.76,37.92,39.36,2540537.0
2019-03-22,40.77,41.2,36.47,38.97,2765119.0
