,1. open,2. high,3. low,4. close,5. volume
2021-06-14,103.85,105.506,101.44,102.88,593319.0
2021-06-11,92.09,102.98,91.93,101.71,3601752.0
2021-06-04,101.65,101.65,92.045,92.19,1468548.0
2021-05-28,108.24,109.1888,100.95,101.71,2103610.0
2021-05-21,110.6,115.25,107.21,107.34,1989536.0
2021-05-14,112.42,112.42,102.29,110.88,2437199.0
2021-05-07,111.96,119.54,100.925,114.53,3134666.0
2021-04-30,110.63,116.84,109.56,111.64,1620920.0
2021-04-23,106.67,111.91,102.115,109.87,1576633.0
2021-04-16,103.76,111.675,99.61,108.72,1851618.0
2021-04-09,114.82,120.0,101.15,103.48,2046098.0
2021-04-01,108.25,116.69,104.66,113.2,2047377.0
2021-03-26,125.36,126.27,102.9001,108.64,2271097.0
2021-03-19,125.64,133.82,117.18,124.73,2498006.0
2021-03-12,118.6,128.12,113.53,126.95,1852693.0
2021-03-05,142.64,145.0,110.66,118.5,2343497.0
2021-02-26,146.27,148.66,134.53,141.54,1884399.0
2021-02-19,150.34,151.69,139.28,148.14,1974316.0
2021-02-12,164.41,175.0,145.8,150.26,2195418.0
2021-02-05,140.36,163.13,139.58,162.22,1733726.0
2021-01-29,140.79,148.49,130.2192,138.59,1862744.0
2021-01-22,140.6,141.935,131.19,140.47,1791838.0
2021-01-15,150.83,152.8,133.85,137.97,3012650.0
2021-01-08,138.54,153.155,131.84,150.59,3280425.0
2020-12-31,175.11,175.87,137.8317,138.43,3762356.0
2020-12-24,163.72,179.647,161.98,172.87,1457358.0
2020-12-18,145.8,168.39,145.8,168.04,3450976.0
2020-12-11,127.19,146.88,127.19,144.94,2316438.0
2020-12-04,122.56,129.91,115.15,128.53,1922451.0
2020-11-27,115.27,124.36,113.57,122.42,1130878.0
2020-11-20,118.15,120.0,110.205,114.37,1389316.0
2020-11-13,115.7,123.35,111.08,117.22,2035557.0
2020-11-06,100.01,115.8733,91.17,111.42,3743420.0
2020-10-30,92.26,102.145,90.03,100.5,4622898.0
2020-10-23,92.56,94.61,86.8481,93.06,1302862.0
2020-10-16,94.45,99.25,87.2726,91.97,1717646.0
2020-10-09,84.54,96.58,84.54,94.45,1768501.0
2020-10-02,82.9,87.75,81.045,84.4,1513056.0
2020-09-25,81.5,85.825,77.56,82.07,1528967.0
2020-09-18,75.28,84.8,75.28,82.87,2506420.0
2020-09-11,73.7,79.25,72.83,73.83,1536981.0
2020-09-04,85.59,87.466,73.32,75.81,1930579.0
2020-08-28,88.69,89.42,80.87,85.69,1251301.0
2020-08-21,84.9,90.92,84.86,87.56,1299054.0
2020-08-14,84.75,86.98,81.87,85.11,1370718.0
2020-08-07,78.56,87.81,78.375,84.84,1581077.0
2020-07-31,77.37,84.5,75.12,78.16,1992054.0
2020-07-24,86.88,90.19,76.14,77.77,1597914.0
2020-07-17,87.17,87.8,79.91,85.88,2265600.0
2020-07-10,87.06,91.77,85.84,86.26,2130800.0
2020-07-02,77.17,86.11,72.43,86.04,3573100.0
2020-06-26,77.87,79.67,73.071,76.58,3395819.0
2020-06-19,66.89,78.22,66.14,78.22,3311701.0
2020-06-12,70.3,73.77,66.22,68.06,1815910.0
2020-06-05,68.48,75.2,65.31,69.92,2290372.0
2020-05-29,74.93,75.76,65.95,68.46,2201379.0
2020-05-22,72.0,76.0,69.0,73.81,2854044.0
2020-05-15,63.98,71.31,61.9585,71.29,2754307.0
2020-05-08,58.46,68.9,57.45,63.84,2465773.0
2020-05-01,66.98,70.493,57.1,58.65,2690136.0
2020-04-24,58.05,67.2728,57.77,66.23,3278809.0
2020-04-17,51.73,58.85,51.73,58.57,2812382.0
2020-04-09,49.84,55.56,48.5,52.5,2182070.0
2020-04-03,42.84,50.02,41.51,48.3,3137537.0
2020-03-27,38.03,45.4,36.235,42.36,3027727.0
2020-03-20,32.56,40.9,31.99,37.37,4599693.0
2020-03-13,46.15,49.55,36.8,43.34,3211080.0
2020-03-06,56.63,57.75,48.89,50.32,2363484.0
2020-02-28,57.32,58.27,50.7232,56.08,2325884.0
2020-02-21,60.61,62.105,58.65,59.39,1743466.0
2020-02-14,60.12,64.24,59.29,61.13,1994118.0
2020-02-07,52.66,60.59,52.06,60.06,2086088.0
2020-01-31,55.56,58.0,51.02,52.55,1685279.0
2020-01-24,60.0,60.765,55.84,56.97,2284849.0
2020-01-17,54.27,63.92,53.0,59.96,4471353.0
2020-01-10,42.64,58.54,42.04,53.96,4810989.0
2020-01-03,43.51,43.83,41.43,43.04,1522680.0
2019-12-27,43.55,46.0344,43.06,43.41,1307497.0
2019-12-20,43.24,46.06,41.7204,43.46,2996356.0
2019-12-13,43.28,43.81,40.78,42.73,2138472.0
2019-12-06,39.7,43.63,38.5,43.0,3577877.0
2019-11-29,39.0,40.2304,38.15,39.65,2504307.0
2019-11-22,36.06,39.5,35.41,38.69,2811518.0
2019-11-15,38.78,38.8355,36.02,36.08,2172828.0
2019-11-08,41.24,41.58,36.73,38.9,3076109.0
2019-11-01,41.23,42.36,38.83,40.79,1987943.0
2019-10-25,43.31,44.135,39.76,40.94,1920597.0
2019-10-18,42.75,44.6,41.38,42.71,2637419.0
2019-10-11,44.4,45.34,41.52,42.76,2110607.0
2019-10-04,42.81,44.7,41.35,44.52,3158937.0
2019-09-27,42.06,44.46,41.35,42.5,3292829.0
2019-09-20,43.71,45.71,42.17,42.57,3590932.0
2019-09-13,44.75,45.86,41.51,44.1,6010807.0
2019-09-06,54.02,54.8,44.36,44.76,3695140.0
2019-08-30,55.96,56.2533,49.8,54.47,1546581.0
2019-08-23,59.99,60.055,55.02,55.35,1518457.0
2019-08-16,60.49,63.682,56.71,58.65,2244748.0
2019-08-09,54.59,62.0,52.79,61.0,1974201.0
2019-08-02,62.22,63.4,55.4,55.66,2475502.0
2019-07-26,62.68,64.02,58.82,62.25,2324715.0
2019-07-19,58.8,63.43,58.01,62.1,1882924.0
2019-07-12,58.66,60.13,55.53,58.55,2258145.0
2019-07-05,64.98,65.0,59.28,59.51,1324608.0
2019-06-28,62.55,63.71,59.21,63.5,2296472.0
2019-06-21,57.68,65.63,57.67,62.6,2142227.0
2019-06-14,60.51,61.95,56.92,57.16,1815862.0
2019-06-07,54.96,60.52,54.41,59.94,2022921.0
2019-05-31,57.25,58.53,54.82,54.93,1508413.0
2019-05-24,60.98,60.98,55.9,57.18,1786948.0
2019-05-17,62.12,64.39,60.29,61.43,2378950.0
2019-05-10,65.9,67.49,60.33,64.11,2976268.0
2019-05-03,68.3,68.525,63.795,67.99,2157523.0
2019-04-26,64.25,68.92,63.35,68.35,2291294.0
2019-04-18,72.74,73.98,61.96,64.43,3255201.0
2019-04-12,74.02,74.38,71.01,72.84,2244304.0
2019-04-05,70.06,74.5,67.51,74.36,2269643.0
2019-03-29,64.55,71.63,63.7999,69.36,3076967.0
2019-03-22,68.22,70.35,64.56,64.65,2951098.0
2019-03-15,62.9,68.88,62.9,68.27,3485886.0
2019-03-08,68.0,68.5,61.31,62.78,2918018.0
2019-03-01,61.5,67.99,59.23,67.55,7205701.0
2019-02-22,56.71,63.24,56.2,59.82,2950417.0
2019-02-15,52.36,56.87,51.95,56.65,2942950.0
2019-02-08,50.59,54.06,49.67,52.35,1948506.0
2019-02-01,49.54,51.09,46.51,50.55,1800851.0
