,1. open,2. high,3. low,4. close,5. volume
2021-06-14,4.36,4.58,3.9,3.96,144949157.0
2021-06-11,3.08,4.2,2.73,4.01,443164214.0
2021-06-04,2.05,3.2,2.015,2.91,294409719.0
2021-05-28,2.0,2.17,1.86,2.06,61135903.0
2021-05-21,1.92,2.24,1.86,2.0,56244120.0
2021-05-14,1.88,1.95,1.62,1.92,70798225.0
2021-05-07,2.15,2.15,1.83,1.89,46777963.0
2021-04-30,2.05,2.32,1.97,2.12,78837638.0
2021-04-23,1.82,2.17,1.695,2.0,114429828.0
2021-04-16,2.36,2.37,1.78,1.89,131791740.0
2021-04-09,2.6,2.67,2.3,2.34,81395005.0
2021-04-01,2.67,2.85,2.41,2.58,74575777.0
2021-03-26,3.28,3.29,2.41,2.75,89072853.0
2021-03-19,3.2,3.4,2.7,3.28,163209191.0
2021-03-12,2.64,3.4,2.41,3.17,250218822.0
2021-03-05,3.61,3.78,1.9,2.48,252156817.0
2021-02-26,4.64,4.75,2.75,3.42,243908526.0
2021-02-19,4.67,5.56,4.3,4.63,240128955.0
2021-02-12,3.53,4.35,3.36,4.16,338442736.0
2021-02-05,2.55,3.27,2.38,3.03,233946678.0
2021-01-29,2.93,3.17,2.28,2.37,306629570.0
2021-01-22,1.6,3.9,1.48,2.31,837001220.0
2021-01-15,0.88,2.04,0.8312,1.58,273649454.0
2021-01-08,0.84,1.21,0.84,0.8665,63663424.0
2020-12-31,0.9,1.0,0.8,0.8718,42061125.0
2020-12-24,0.433,1.17,0.3961,0.91,203555203.0
2020-12-18,0.4233,0.4322,0.41,0.413,8240702.0
2020-12-11,0.4489,0.455,0.3909,0.4206,15769582.0
2020-12-04,0.3711,0.46,0.3605,0.43,17319065.0
2020-11-27,0.3727,0.38,0.3497,0.3685,9960164.0
2020-11-20,0.41,0.41,0.365,0.371,7992495.0
2020-11-13,0.45,0.459,0.373,0.3901,8644817.0
2020-11-06,0.37,0.4167,0.3573,0.41,6679626.0
2020-10-30,0.3823,0.4,0.3565,0.3732,6070740.0
2020-10-23,0.395,0.395,0.361,0.3824,4294606.0
2020-10-16,0.409,0.4098,0.375,0.375,4499251.0
2020-10-09,0.4217,0.4298,0.3916,0.4005,6816940.0
2020-10-02,0.399,0.42,0.38,0.3985,5232278.0
2020-09-25,0.3861,0.3954,0.3569,0.3745,6908615.0
2020-09-18,0.4104,0.43,0.38,0.38,11694022.0
2020-09-11,0.42,0.44,0.4002,0.4132,3693380.0
2020-09-04,0.5,0.5,0.4097,0.4233,8593074.0
2020-08-28,0.4835,0.51,0.4407,0.4766,8369022.0
2020-08-21,0.5202,0.5347,0.45,0.4755,8743213.0
2020-08-14,0.48,0.58,0.4743,0.5147,26362874.0
2020-08-07,0.5,0.5,0.406,0.476,8330586.0
2020-07-31,0.4599,0.5989,0.45,0.4777,15895977.0
2020-07-24,0.45,0.48,0.415,0.452,9035533.0
2020-07-17,0.437,0.446,0.4,0.43,7289756.0
