,1. open,2. high,3. low,4. close,5. volume
2021-06-14,0.209,0.209,0.195,0.198,5577.0
2021-06-11,0.1201,0.189,0.1201,0.189,7430.0
2021-06-04,0.1123,0.13,0.11,0.12,15559.0
2021-05-28,0.155,0.189,0.1257,0.13,24061.0
2021-05-21,0.1552,0.179,0.1123,0.1123,19855.0
2021-05-14,0.18,0.18,0.1551,0.1552,33997.0
2021-05-07,0.22,0.22,0.1825,0.1825,5820.0
2021-04-30,0.1725,0.22,0.1725,0.22,29845.0
2021-04-23,0.24,0.24,0.17,0.1872,26502.0
2021-04-16,0.218,0.278,0.1925,0.21,46070.0
2021-04-09,0.248,0.248,0.1571,0.161,21919.0
2021-04-01,0.278,0.278,0.201,0.248,15396.0
2021-03-26,0.22,0.334,0.171,0.2415,79605.0
2021-03-19,0.2339,0.27,0.1625,0.22,9650.0
2021-03-12,0.21,0.234,0.1255,0.2,115478.0
2021-03-05,0.255,0.32,0.2,0.234,43667.0
2021-02-26,0.25,0.38,0.25,0.3025,88981.0
2021-02-19,0.4673,0.4673,0.255,0.335,102035.0
2021-02-12,0.3789,0.48,0.2,0.32,259677.0
2021-02-05,0.484,0.85,0.27,0.37,632660.0
2021-01-29,0.275,0.33,0.1075,0.29,63522.0
2021-01-22,0.25,0.3,0.23,0.23,39942.0
2021-01-15,0.485,0.57,0.15,0.25,143022.0
2021-01-08,0.1309,0.447,0.1,0.15,9564.0
2020-12-31,0.2,0.2,0.2,0.2,6500.0
2020-12-24,0.25,0.25,0.2,0.2,4520.0
2020-12-18,0.24,0.25,0.215,0.25,74988.0
2020-12-11,0.07,0.25,0.07,0.08,62068.0
2020-12-04,0.18,0.29,0.17,0.18,23291.0
2020-11-27,0.178,0.399,0.1152,0.28,70497.0
2020-11-20,0.218,0.218,0.178,0.178,500.0
2020-11-13,0.17,0.22,0.12,0.218,29675.0
2020-11-06,0.18,0.18,0.17,0.17,2012.0
2020-10-30,0.114,0.145,0.114,0.13,14350.0
2020-10-23,0.112,0.235,0.112,0.114,850.0
2020-10-16,0.1,0.2,0.1,0.112,28525.0
2020-10-09,0.0511,0.1,0.0511,0.06,11990.0
2020-10-02,0.065,0.065,0.063,0.063,20000.0
2020-09-25,0.15,0.15,0.065,0.065,225.0
2020-09-18,0.16,0.165,0.066,0.15,1525.0
2020-09-11,0.16,0.16,0.16,0.16,25.0
2020-09-04,0.1,0.17,0.1,0.16,2151.0
2020-08-28,0.1,0.1,0.1,0.1,0.0
2020-08-21,0.131,0.145,0.05,0.1,57579.0
2020-08-14,0.131,0.131,0.131,0.131,1000.0
2020-08-07,0.13,0.131,0.13,0.131,7774.0
2020-07-31,0.13,0.15,0.13,0.15,100.0
